ka_abscissa,ka_cdf,V_abscissa,V_cdf,Cl_abscissa,Cl_cdf,split
1.05905,0.325,0.43298,0.325,0.0372194,0.325,All
1.08832,0.333333,0.433246,0.333333,0.037698,0.333333,All
1.10702,0.341667,0.434498,0.341667,0.0378997,0.341667,All
1.11428,0.35,0.435448,0.35,0.0380022,0.35,All
1.13167,0.358333,0.436497,0.358333,0.0380841,0.358333,All
1.13788,0.366667,0.437989,0.366667,0.0386707,0.366667,All
1.16065,0.375,0.438236,0.375,0.0387844,0.375,All
1.17961,0.383333,0.444011,0.383333,0.0390138,0.383333,All
1.20359,0.391667,0.446113,0.391667,0.0392363,0.391667,All
1.23392,0.4,0.446436,0.4,0.0392956,0.4,All
1.2625,0.408333,0.447099,0.408333,0.0393841,0.408333,All
1.28987,0.416667,0.447263,0.416667,0.0394642,0.416667,All
1.30801,0.425,0.44729,0.425,0.0399606,0.425,All
1.31345,0.433333,0.448013,0.433333,0.0405472,0.433333,All
1.33262,0.441667,0.448952,0.441667,0.0407045,0.441667,All
1.3359,0.45,0.449245,0.45,0.0407475,0.45,All
1.34813,0.458333,0.450269,0.458333,0.0408143,0.458333,All
1.36343,0.466667,0.452061,0.466667,0.0408656,0.466667,All
1.37204,0.475,0.455128,0.475,0.0410363,0.475,All
1.40986,0.483333,0.4554,0.483333,0.0411019,0.483333,All
1.43562,0.491667,0.455647,0.491667,0.0413275,0.491667,All
1.47481,0.5,0.456263,0.5,0.0414173,0.5,All
1.48585,0.508333,0.45695,0.508333,0.0419243,0.508333,All
1.48807,0.516667,0.457046,0.516667,0.0420571,0.516667,All
1.4946,0.525,0.458916,0.525,0.042198,0.525,All
1.4962,0.533333,0.461997,0.533333,0.042265,0.533333,All
1.51776,0.541667,0.463156,0.541667,0.0423233,0.541667,All
1.5653,0.55,0.466598,0.55,0.0424489,0.55,All
1.56843,0.558333,0.467707,0.558333,0.0425078,0.558333,All
1.57319,0.566667,0.470262,0.566667,0.0426017,0.566667,All
1.57577,0.575,0.473603,0.575,0.0428067,0.575,All
1.61961,0.583333,0.47387,0.583333,0.0429048,0.583333,All
1.62927,0.591667,0.475989,0.591667,0.0429331,0.591667,All
1.64008,0.6,0.478303,0.6,0.0429471,0.6,All
1.6426,0.608333,0.479647,0.608333,0.0431458,0.608333,All
1.66998,0.616667,0.479755,0.616667,0.0433022,0.616667,All
1.723,0.625,0.483017,0.625,0.0434405,0.625,All
1.77261,0.633333,0.483131,0.633333,0.0436329,0.633333,All
1.79461,0.641667,0.484867,0.641667,0.043695,0.641667,All
1.80698,0.65,0.486117,0.65,0.0440698,0.65,All
1.81087,0.658333,0.486233,0.658333,0.0440749,0.658333,All
1.8218,0.666667,0.486378,0.666667,0.0441193,0.666667,All
1.83876,0.675,0.491275,0.675,0.0446792,0.675,All
1.93693,0.683333,0.495523,0.683333,0.0447293,0.683333,All
1.95955,0.691667,0.495911,0.691667,0.0447692,0.691667,All
1.96427,0.7,0.496235,0.7,0.0449714,0.7,All
1.97669,0.708333,0.496633,0.708333,0.0451485,0.708333,All
2.00931,0.716667,0.498264,0.716667,0.0452498,0.716667,All
2.01321,0.725,0.49922,0.725,0.0455482,0.725,All
2.0137,0.733333,0.502361,0.733333,0.0456314,0.733333,All
2.01747,0.741667,0.502647,0.741667,0.0458013,0.741667,All
2.08464,0.75,0.502975,0.75,0.0459606,0.75,All
2.09945,0.758333,0.503307,0.758333,0.0463364,0.758333,All
2.17143,0.766667,0.50442,0.766667,0.0468219,0.766667,All
2.22236,0.775,0.504508,0.775,0.0471439,0.775,All
2.29975,0.783333,0.504919,0.783333,0.0472673,0.783333,All
2.50424,0.791667,0.505725,0.791667,0.0478068,0.791667,All
2.53551,0.8,0.507584,0.8,0.0484695,0.8,All
2.56748,0.808333,0.508726,0.808333,0.0490991,0.808333,All
2.5724,0.816667,0.518004,0.816667,0.0493124,0.816667,All
2.70756,0.825,0.520491,0.825,0.0501711,0.825,All
2.71134,0.833333,0.521495,0.833333,0.0504238,0.833333,All
2.77985,0.841667,0.524208,0.841667,0.0506986,0.841667,All
2.93928,0.85,0.524374,0.85,0.0510182,0.85,All
3.09945,0.858333,0.525346,0.858333,0.0510474,0.858333,All
3.10049,0.866667,0.526144,0.866667,0.0510941,0.866667,All
3.10291,0.875,0.526207,0.875,0.0512252,0.875,All
3.13616,0.883333,0.526837,0.883333,0.0519745,0.883333,All
3.72545,0.891667,0.529845,0.891667,0.0521844,0.891667,All
3.79298,0.9,0.529955,0.9,0.0528078,0.9,All
3.87617,0.908333,0.532643,0.908333,0.0533298,0.908333,All
4.67835,0.916667,0.535109,0.916667,0.0536694,0.916667,All
5.0852,0.925,0.536842,0.925,0.0540022,0.925,All
5.31235,0.933333,0.544531,0.933333,0.0543671,0.933333,All
5.44382,0.941667,0.547216,0.941667,0.0566003,0.941667,All
5.5508,0.95,0.54773,0.95,0.0591534,0.95,All
5.87438,0.958333,0.552002,0.958333,0.0593551,0.958333,All
6.4429,0.966667,0.557015,0.966667,0.0603005,0.966667,All
6.72095,0.975,0.557132,0.975,0.0609541,0.975,All
6.77735,0.983333,0.56188,0.983333,0.0620006,0.983333,All
7.99211,0.991667,0.562292,0.991667,0.0662148,0.991667,All
8.79526,1,0.567889,1,0.0718037,1,All
8.79526,1,0.914062,1,0.111361,1,All
