popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
2.43222,2.77741,2.43222,1.50246,3.36197,2.22196,2.06461,2.22196,1.31097,3.13295,All
2.45136,2.79424,2.45136,1.5199,3.38283,2.23208,2.07567,2.23208,1.32019,3.14397,All
2.58002,2.89839,2.58002,1.63707,3.52296,2.34054,2.19422,2.34054,1.41897,3.26211,All
2.63158,2.93918,2.63158,1.68403,3.57913,2.41788,2.27838,2.41788,1.4894,3.34635,All
2.71542,3.00534,2.71542,1.76039,3.67046,2.46545,2.32936,2.46545,1.53273,3.39817,All
2.83094,3.09658,2.83094,1.8656,3.79628,2.59702,2.47002,2.59702,1.65256,3.54148,All
2.85794,3.11793,2.85794,1.89019,3.82569,2.60368,2.47704,2.60368,1.65862,3.54873,All
3.00793,3.2373,3.00793,2.02679,3.98907,2.73561,2.61403,2.73561,1.77878,3.69245,All
3.0303,3.25525,3.0303,2.04717,4.01344,2.78947,2.66895,2.78947,1.82783,3.75111,All
3.16579,3.36447,3.16579,2.17057,4.16102,2.8816,2.76157,2.8816,1.91174,3.85147,All
3.22967,3.41681,3.22967,2.22874,4.23059,2.97527,2.85397,2.97527,1.99705,3.95349,All
3.33194,3.50203,3.33194,2.32189,4.342,3.03538,2.91255,3.03538,2.0518,4.01897,All
3.42903,3.58429,3.42903,2.41031,4.44775,3.16107,3.03432,3.16107,2.16626,4.15587,All
3.50681,3.65122,3.50681,2.48115,4.53247,3.19737,3.06918,3.19737,2.19933,4.19542,All
3.62839,3.75674,3.62839,2.59188,4.6649,3.34686,3.21231,3.34686,2.33548,4.35825,All
3.69086,3.81199,3.69086,2.64877,4.73295,3.368,3.23253,3.368,2.35473,4.38128,All
3.82775,3.93384,3.82775,2.77345,4.88206,3.53266,3.39048,3.53266,2.50469,4.56063,All
3.88457,3.98505,3.88457,2.82519,4.94394,3.54774,3.40503,3.54774,2.51843,4.57706,All
4.02711,4.11474,4.02711,2.95502,5.09921,3.71846,3.57133,3.71846,2.67391,4.76301,All
4.08844,4.17097,4.08844,3.01087,5.16601,3.73707,3.58976,3.73707,2.69086,4.78328,All
4.22647,4.2987,4.22647,3.13658,5.31637,3.90425,3.75705,3.90425,2.84312,4.96539,All
4.30301,4.36985,4.30301,3.20629,5.39973,3.93651,3.78994,3.93651,2.8725,5.00052,All
4.42584,4.48391,4.42584,3.31815,5.53352,4.09005,3.95215,4.09005,3.01234,5.16777,All
4.52884,4.57879,4.52884,3.41197,5.64572,4.14658,4.01272,4.14658,3.06382,5.22934,All
4.6252,4.66754,4.6252,3.49972,5.75067,4.27585,4.15368,4.27585,3.18155,5.37014,All
4.76653,4.79477,4.76653,3.62844,5.90462,4.36787,4.25825,4.36787,3.26536,5.47038,All
4.82456,4.84499,4.82456,3.68129,5.96783,4.46164,4.36691,4.46164,3.35077,5.57252,All
5.01669,5.01022,5.01669,3.85627,6.1771,4.60097,4.5307,4.60097,3.47766,5.72428,All
5.02392,5.01623,5.02392,3.86286,6.18498,4.64744,4.58569,4.64744,3.51998,5.7749,All
5.22328,5.17499,5.22328,4.04443,6.40214,4.83324,4.80529,4.83324,3.6892,5.97728,All
5.27998,5.21788,5.27998,4.09606,6.46389,4.84651,4.82083,4.84651,3.70128,5.99173,All
5.42265,5.32333,5.42265,4.226,6.61929,5.01904,5.02099,5.01904,3.85841,6.17966,All
5.55709,5.42221,5.55709,4.34844,6.76573,5.10515,5.11799,5.10515,3.93684,6.27346,All
5.62201,5.47045,5.62201,4.40757,6.83645,5.20483,5.22776,5.20483,4.02762,6.38204,All
5.82137,5.62893,5.82137,4.58914,7.0536,5.37759,5.41114,5.37759,4.18496,6.57022,All
5.84874,5.65154,5.84874,4.61406,7.08341,5.39063,5.42475,5.39063,4.19684,6.58442,All
6.02073,5.79839,6.02073,4.77071,7.27076,5.57643,5.61455,5.57643,4.36605,6.7868,All
6.15569,5.92781,6.15569,4.89362,7.41776,5.66457,5.70304,5.66457,4.44633,6.88281,All
6.22009,5.99288,6.22009,4.95227,7.48791,5.76222,5.80057,5.76222,4.53527,6.98918,All
6.41945,6.20499,6.41945,5.13384,7.70507,5.94802,5.98641,5.94802,4.70448,7.19156,All
6.47876,6.26824,6.47876,5.18786,7.76966,5.96687,6.00535,5.96687,4.72165,7.21209,All
6.61882,6.41822,6.61882,5.31541,7.92222,6.13382,6.17553,6.13382,4.8737,7.39394,All
6.81818,6.63014,6.81818,5.49698,8.13937,6.2853,6.33404,6.2853,5.01166,7.55894,All
6.81878,6.63077,6.81878,5.49753,8.14003,6.31961,6.37021,6.31961,5.04291,7.59631,All
7.01754,6.82338,7.01754,5.67855,8.35653,6.50541,6.56817,6.50541,5.21213,7.79869,All
7.17665,6.97199,7.17665,5.82346,8.52984,6.62073,6.69137,6.62073,5.31715,7.9243,All
7.2169,7.00366,7.2169,5.86012,8.57368,6.69121,6.76621,6.69121,5.38134,8.00107,All
7.41626,7.15121,7.41626,6.04169,8.79084,6.877,6.96166,6.877,5.55056,8.20345,All
7.5533,7.23239,7.5533,6.16649,8.94011,6.97405,7.06145,6.97405,5.63894,8.30916,All
7.61563,7.26764,7.61563,6.22326,9.00799,7.0628,7.15143,7.0628,5.71977,8.40583,All
7.81499,7.37215,7.81499,6.40483,9.22515,7.2486,7.33654,7.2486,5.88899,8.60821,All
7.94972,7.44338,7.94972,6.52753,9.3719,7.34623,7.43328,7.34623,5.9779,8.71455,All
8.01435,7.47994,8.01435,6.58639,9.4423,7.4344,7.52034,7.4344,6.0582,8.81059,All
8.21371,7.60803,8.21371,6.76796,9.65946,7.62019,7.70478,7.62019,6.22742,9.01297,All
8.36694,7.72462,8.36694,6.90752,9.82636,7.73827,7.82501,7.73827,6.33496,9.14159,All
8.41307,7.76252,8.41307,6.94953,9.87661,7.80599,7.89396,7.80599,6.39663,9.21535,All
8.61243,7.93948,8.61243,7.1311,10.0938,7.99179,8.08638,7.99179,6.56585,9.41773,All
8.80606,8.12593,8.80606,7.30745,10.3047,8.15123,8.25938,8.15123,6.71106,9.59141,All
8.8118,8.13171,8.8118,7.31267,10.3109,8.17758,8.28867,8.17758,6.73506,9.62011,All
9.01116,8.33326,9.01116,7.49424,10.5281,8.36338,8.49969,8.36338,6.90428,9.82248,All
9.21052,8.54057,9.21052,7.67581,10.7452,8.54918,8.71465,8.54918,7.07349,10.0249,All
9.26822,8.60069,9.26822,7.72836,10.8081,8.58624,8.75745,8.58624,7.10724,10.0652,All
9.40988,8.74616,9.40988,7.85738,10.9624,8.73497,8.92883,8.73497,7.2427,10.2272,All
9.60924,8.94604,9.60924,8.03895,11.1795,8.92077,9.13595,8.92077,7.41192,10.4296,All
9.75465,9.0858,9.75465,8.17137,11.3379,9.04445,9.26953,9.04445,7.52456,10.5643,All
9.8086,9.13473,9.8086,8.22052,11.3967,9.10657,9.33431,9.10657,7.58113,10.632,All
10.008,9.30496,10.008,8.40208,11.6138,9.29236,9.51237,9.29236,7.75035,10.8344,All
10.2073,9.43728,10.2073,8.58365,11.831,9.47816,9.67724,9.47816,7.91956,11.0368,All
10.2666,9.46361,10.2666,8.63763,11.8956,9.52712,9.70813,9.52712,7.96416,11.0901,All
10.4067,9.52584,10.4067,8.76522,12.0482,9.66396,9.78286,9.66396,8.08878,11.2391,All
10.6061,9.61441,10.6061,8.94679,12.2653,9.84975,9.88433,9.84975,8.25799,11.4415,All
10.8054,9.70297,10.8054,9.12836,12.4825,10.0356,9.98581,10.0356,8.42721,11.6439,All
