trans_Cl_vs_WEIGHT_abscissa,trans_Cl_vs_WEIGHT_spline,trans_Cl_vs_WEIGHT_regression,trans_V_vs_WEIGHT_abscissa,trans_V_vs_WEIGHT_spline,trans_V_vs_WEIGHT_regression,trans_ka_vs_WEIGHT_abscissa,trans_ka_vs_WEIGHT_spline,trans_ka_vs_WEIGHT_regression,split
59.7394,-3.20519,-3.12603,59.7394,-0.80907,-0.739895,59.7394,-0.141061,0.0373126,All
60.0606,-3.19135,-3.12928,60.0606,-0.815522,-0.741275,60.0606,-0.128487,0.0501098,All
60.3818,-3.17751,-3.13254,60.3818,-0.821973,-0.742655,60.3818,-0.115912,0.0629071,All
60.703,-3.16471,-3.13579,60.703,-0.818406,-0.744035,60.703,-0.0914445,0.0757043,All
61.0242,-3.1525,-3.13904,61.0242,-0.809007,-0.745415,61.0242,-0.0600535,0.0885015,All
61.3455,-3.1403,-3.1423,61.3455,-0.799609,-0.746795,61.3455,-0.0286625,0.101299,All
61.6667,-3.12809,-3.14555,61.6667,-0.79021,-0.748175,61.6667,0.00272851,0.114096,All
61.9879,-3.11589,-3.14881,61.9879,-0.780811,-0.749555,61.9879,0.0341195,0.126893,All
62.3091,-3.10368,-3.15206,62.3091,-0.771412,-0.750935,62.3091,0.0655105,0.13969,All
62.6303,-3.09148,-3.15531,62.6303,-0.762013,-0.752315,62.6303,0.0969015,0.152488,All
62.9515,-3.07928,-3.15857,62.9515,-0.752614,-0.753695,62.9515,0.128292,0.165285,All
63.2727,-3.06707,-3.16182,63.2727,-0.743216,-0.755075,63.2727,0.159683,0.178082,All
63.5939,-3.05487,-3.16507,63.5939,-0.733817,-0.756455,63.5939,0.191074,0.190879,All
63.9152,-3.04266,-3.16833,63.9152,-0.724418,-0.757835,63.9152,0.222465,0.203677,All
64.2364,-3.03046,-3.17158,64.2364,-0.715019,-0.759215,64.2364,0.253856,0.216474,All
64.5576,-3.01825,-3.17483,64.5576,-0.70562,-0.760595,64.5576,0.285247,0.229271,All
64.8788,-3.01988,-3.17809,64.8788,-0.698775,-0.761975,64.8788,0.322688,0.242068,All
65.2,-3.0272,-3.18134,65.2,-0.697854,-0.763355,65.2,0.346832,0.254866,All
65.5212,-3.03669,-3.18459,65.5212,-0.700289,-0.764735,65.5212,0.362361,0.267663,All
65.8424,-3.04618,-3.18785,65.8424,-0.702723,-0.766115,65.8424,0.37789,0.28046,All
66.1636,-3.05567,-3.1911,66.1636,-0.705157,-0.767495,66.1636,0.393418,0.293257,All
66.4848,-3.06516,-3.19436,66.4848,-0.707591,-0.768875,66.4848,0.408947,0.306055,All
66.8061,-3.07465,-3.19761,66.8061,-0.710025,-0.770255,66.8061,0.424476,0.318852,All
67.1273,-3.08414,-3.20086,67.1273,-0.712459,-0.771635,67.1273,0.440004,0.331649,All
67.4485,-3.09363,-3.20412,67.4485,-0.714894,-0.773015,67.4485,0.455533,0.344446,All
67.7697,-3.10312,-3.20737,67.7697,-0.717328,-0.774395,67.7697,0.471062,0.357243,All
68.0909,-3.11261,-3.21062,68.0909,-0.719762,-0.775775,68.0909,0.48659,0.370041,All
68.4121,-3.1221,-3.21388,68.4121,-0.722196,-0.777155,68.4121,0.502119,0.382838,All
68.7333,-3.13159,-3.21713,68.7333,-0.72463,-0.778535,68.7333,0.517648,0.395635,All
69.0545,-3.14108,-3.22038,69.0545,-0.727064,-0.779915,69.0545,0.533176,0.408432,All
69.3758,-3.15057,-3.22364,69.3758,-0.729499,-0.781295,69.3758,0.548705,0.42123,All
69.697,-3.16006,-3.22689,69.697,-0.731933,-0.782675,69.697,0.564234,0.434027,All
70.0182,-3.16956,-3.23014,70.0182,-0.734367,-0.784055,70.0182,0.579763,0.446824,All
70.3394,-3.17905,-3.2334,70.3394,-0.736801,-0.785435,70.3394,0.595291,0.459621,All
70.6606,-3.18717,-3.23665,70.6606,-0.743342,-0.786815,70.6606,0.588658,0.472419,All
70.9818,-3.19393,-3.23991,70.9818,-0.75399,-0.788195,70.9818,0.559863,0.485216,All
71.303,-3.20069,-3.24316,71.303,-0.764637,-0.789575,71.303,0.531068,0.498013,All
71.6242,-3.20745,-3.24641,71.6242,-0.775285,-0.790955,71.6242,0.502274,0.51081,All
71.9455,-3.21422,-3.24967,71.9455,-0.785933,-0.792335,71.9455,0.473479,0.523608,All
72.2667,-3.22098,-3.25292,72.2667,-0.796581,-0.793715,72.2667,0.444684,0.536405,All
72.5879,-3.25964,-3.25617,72.5879,-0.813908,-0.795095,72.5879,0.43595,0.549202,All
72.9091,-3.29368,-3.25943,72.9091,-0.823683,-0.796475,72.9091,0.446001,0.561999,All
73.2303,-3.3131,-3.26268,73.2303,-0.826866,-0.797855,73.2303,0.458493,0.574796,All
73.5515,-3.33253,-3.26593,73.5515,-0.83005,-0.799235,73.5515,0.470984,0.587594,All
73.8727,-3.35195,-3.26919,73.8727,-0.833233,-0.800615,73.8727,0.483476,0.600391,All
74.1939,-3.37137,-3.27244,74.1939,-0.836417,-0.801995,74.1939,0.495967,0.613188,All
74.5152,-3.39079,-3.2757,74.5152,-0.8396,-0.803375,74.5152,0.508459,0.625985,All
74.8364,-3.41021,-3.27895,74.8364,-0.842784,-0.804755,74.8364,0.52095,0.638783,All
75.1576,-3.42963,-3.2822,75.1576,-0.845967,-0.806135,75.1576,0.533442,0.65158,All
75.4788,-3.44906,-3.28546,75.4788,-0.849151,-0.807515,75.4788,0.545933,0.664377,All
75.8,-3.46848,-3.28871,75.8,-0.852334,-0.808895,75.8,0.558425,0.677174,All
76.1212,-3.4879,-3.29196,76.1212,-0.855518,-0.810275,76.1212,0.570916,0.689972,All
76.4424,-3.50732,-3.29522,76.4424,-0.858701,-0.811655,76.4424,0.583408,0.702769,All
76.7636,-3.52674,-3.29847,76.7636,-0.861885,-0.813035,76.7636,0.595899,0.715566,All
77.0848,-3.54616,-3.30172,77.0848,-0.865068,-0.814415,77.0848,0.60839,0.728363,All
77.4061,-3.56559,-3.30498,77.4061,-0.868252,-0.815795,77.4061,0.620882,0.741161,All
77.7273,-3.58501,-3.30823,77.7273,-0.871436,-0.817175,77.7273,0.633373,0.753958,All
78.0485,-3.60443,-3.31148,78.0485,-0.874619,-0.818555,78.0485,0.645865,0.766755,All
78.3697,-3.62385,-3.31474,78.3697,-0.877803,-0.819935,78.3697,0.658356,0.779552,All
78.6909,-3.64327,-3.31799,78.6909,-0.880986,-0.821315,78.6909,0.670848,0.792349,All
79.0121,-3.66269,-3.32125,79.0121,-0.88417,-0.822695,79.0121,0.683339,0.805147,All
79.3333,-3.68212,-3.3245,79.3333,-0.887353,-0.824075,79.3333,0.695831,0.817944,All
79.6545,-3.62345,-3.32775,79.6545,-0.871632,-0.825455,79.6545,0.664718,0.830741,All
79.9758,-3.18305,-3.33101,79.9758,-0.763491,-0.826835,79.9758,0.42043,0.843538,All
80.297,-3.1605,-3.33426,80.297,-0.762482,-0.828215,80.297,0.455001,0.856336,All
80.6182,-3.17207,-3.33751,80.6182,-0.770218,-0.829595,80.6182,0.512337,0.869133,All
80.9394,-3.18363,-3.34077,80.9394,-0.777954,-0.830975,80.9394,0.569673,0.88193,All
81.2606,-3.1952,-3.34402,81.2606,-0.78569,-0.832355,81.2606,0.627009,0.894727,All
81.5818,-3.20676,-3.34727,81.5818,-0.793426,-0.833735,81.5818,0.684345,0.907525,All
81.903,-3.21833,-3.35053,81.903,-0.801162,-0.835115,81.903,0.741681,0.920322,All
82.2242,-3.2299,-3.35378,82.2242,-0.808899,-0.836495,82.2242,0.799017,0.933119,All
82.5455,-3.24146,-3.35703,82.5455,-0.816635,-0.837875,82.5455,0.856353,0.945916,All
82.8667,-3.25303,-3.36029,82.8667,-0.824371,-0.839255,82.8667,0.913689,0.958714,All
83.1879,-3.26459,-3.36354,83.1879,-0.832107,-0.840635,83.1879,0.971025,0.971511,All
83.5091,-3.27616,-3.3668,83.5091,-0.839843,-0.842015,83.5091,1.02836,0.984308,All
83.8303,-3.28772,-3.37005,83.8303,-0.847579,-0.843395,83.8303,1.0857,0.997105,All
84.1515,-3.29929,-3.3733,84.1515,-0.855315,-0.844775,84.1515,1.14303,1.0099,All
84.4727,-3.31085,-3.37656,84.4727,-0.863051,-0.846155,84.4727,1.20037,1.0227,All
84.7939,-3.32242,-3.37981,84.7939,-0.870787,-0.847535,84.7939,1.2577,1.0355,All
85.1152,-3.33399,-3.38306,85.1152,-0.878523,-0.848915,85.1152,1.31504,1.04829,All
85.4364,-3.34555,-3.38632,85.4364,-0.886259,-0.850295,85.4364,1.37238,1.06109,All
85.7576,-3.35712,-3.38957,85.7576,-0.893996,-0.851675,85.7576,1.42971,1.07389,All
86.0788,-3.36868,-3.39282,86.0788,-0.901732,-0.853055,86.0788,1.48705,1.08669,All
86.4,-3.38025,-3.39608,86.4,-0.909468,-0.854435,86.4,1.54438,1.09948,All
