pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.497437,0.325,-2.03014,0.0325,-0.480155,0.325,All
-0.454259,0.333333,-2.01962,0.0333333,-0.450977,0.333333,All
-0.435234,0.341667,-2.01944,0.0341667,-0.431787,0.341667,All
-0.423292,0.35,-1.99627,0.035,-0.422806,0.35,All
-0.422186,0.358333,-1.95623,0.0358333,-0.406983,0.358333,All
-0.414399,0.366667,-1.94434,0.0366667,-0.362518,0.366667,All
-0.413584,0.375,-1.91978,0.0375,-0.356904,0.375,All
-0.413481,0.383333,-1.90461,0.0383333,-0.33655,0.383333,All
-0.407628,0.391667,-1.89106,0.0391667,-0.335805,0.391667,All
-0.402929,0.4,-1.86502,0.04,-0.331471,0.4,All
-0.344075,0.408333,-1.85892,0.0408333,-0.318544,0.408333,All
-0.331766,0.416667,-1.84899,0.0416667,-0.300543,0.416667,All
-0.317087,0.425,-1.84242,0.0425,-0.300103,0.425,All
-0.313685,0.433333,-1.81911,0.0433333,-0.271902,0.433333,All
-0.284278,0.441667,-1.81736,0.0441667,-0.256982,0.441667,All
-0.269151,0.45,-1.81361,0.045,-0.230714,0.45,All
-0.264804,0.458333,-1.78482,0.0458333,-0.203391,0.458333,All
-0.21078,0.466667,-1.77362,0.0466667,-0.18652,0.466667,All
-0.202272,0.475,-1.77051,0.0475,-0.186,0.475,All
-0.186898,0.483333,-1.76594,0.0483333,-0.157768,0.483333,All
-0.173859,0.491667,-1.73795,0.0491667,-0.114663,0.491667,All
-0.133365,0.5,-1.71856,0.05,-0.104705,0.5,All
-0.117714,0.508333,-1.70163,0.0508333,-0.0858341,0.508333,All
-0.109571,0.516667,-1.65927,0.0516667,-0.0424981,0.516667,All
-0.102053,0.525,-1.6187,0.0525,-0.0120809,0.525,All
-0.0951931,0.533333,-1.58015,0.0533333,-0.00270657,0.533333,All
-0.0859421,0.541667,-1.56746,0.0541667,0.011001,0.541667,All
-0.0374299,0.55,-1.55878,0.055,0.020982,0.55,All
-0.0105396,0.558333,-1.54517,0.0558333,0.0211109,0.558333,All
-4.21412e-05,0.566667,-1.52077,0.0566667,0.0660136,0.566667,All
0.0222895,0.575,-1.50676,0.0575,0.0674429,0.575,All
0.0411881,0.583333,-1.49331,0.0583333,0.0924083,0.583333,All
0.0500528,0.591667,-1.49264,0.0591667,0.127277,0.591667,All
0.100952,0.6,-1.45546,0.06,0.127605,0.6,All
0.164549,0.608333,-1.45212,0.0608333,0.134405,0.608333,All
0.201329,0.616667,-1.44533,0.0616667,0.165851,0.616667,All
0.203187,0.625,-1.40698,0.0625,0.193604,0.625,All
0.227187,0.633333,-1.40517,0.0633333,0.222222,0.633333,All
0.233311,0.641667,-1.39548,0.0641667,0.284323,0.641667,All
0.294504,0.65,-1.38931,0.065,0.290887,0.65,All
0.307704,0.658333,-1.3744,0.0658333,0.316394,0.658333,All
0.319285,0.666667,-1.3734,0.0666667,0.386728,0.666667,All
0.331427,0.675,-1.36113,0.0675,0.416941,0.675,All
0.409183,0.683333,-1.35574,0.0683333,0.428272,0.683333,All
0.433485,0.691667,-1.34943,0.0691667,0.432107,0.691667,All
0.437869,0.7,-1.34157,0.07,0.433522,0.7,All
0.45435,0.708333,-1.3257,0.0708333,0.449726,0.708333,All
0.471038,0.716667,-1.31873,0.0716667,0.453613,0.716667,All
0.47649,0.725,-1.29638,0.0725,0.46682,0.725,All
0.506859,0.733333,-1.2788,0.0733333,0.531562,0.733333,All
0.512569,0.741667,-1.27879,0.0741667,0.581182,0.741667,All
0.545932,0.75,-1.26362,0.075,0.595675,0.75,All
0.55882,0.758333,-1.25998,0.0758333,0.626884,0.758333,All
0.586119,0.766667,-1.25789,0.0766667,0.654509,0.766667,All
0.627849,0.775,-1.24036,0.0775,0.667741,0.775,All
0.637623,0.783333,-1.23237,0.0783333,0.688592,0.783333,All
0.65301,0.791667,-1.2228,0.0791667,0.710155,0.791667,All
0.737206,0.8,-1.21466,0.08,0.71079,0.8,All
0.772858,0.808333,-1.21392,0.0808333,0.743089,0.808333,All
0.773257,0.816667,-1.21164,0.0816667,0.757703,0.816667,All
0.781718,0.825,-1.20603,0.0825,0.768058,0.825,All
0.786369,0.833333,-1.20481,0.0833333,0.780568,0.833333,All
0.797682,0.841667,-1.20126,0.0841667,0.783206,0.841667,All
0.797909,0.85,-1.20035,0.085,0.821183,0.85,All
0.800359,0.858333,-1.18825,0.0858333,0.831398,0.858333,All
0.8014,0.866667,-1.18273,0.0866667,0.838501,0.866667,All
0.856546,0.875,-1.17612,0.0875,0.860508,0.875,All
0.914477,0.883333,-1.1749,0.0883333,0.871423,0.883333,All
1.06165,0.891667,-1.16893,0.0891667,1.11654,0.891667,All
1.17274,0.9,-1.16792,0.09,1.1178,0.9,All
1.26908,0.908333,-1.16322,0.0908333,1.17534,0.908333,All
1.40774,0.916667,-1.1542,0.0916667,1.423,0.916667,All
1.79857,0.925,-1.1541,0.0925,1.85275,0.925,All
1.855,0.933333,-1.15188,0.0933333,1.88442,0.933333,All
2.16567,0.941667,-1.14709,0.0941667,2.03774,0.941667,All
2.33906,0.95,-1.14148,0.095,2.25538,0.95,All
2.3862,0.958333,-1.14094,0.0958333,2.27027,0.958333,All
2.62836,0.966667,-1.14031,0.0966667,2.34955,0.966667,All
2.66425,0.975,-1.13815,0.0975,2.37462,0.975,All
2.672,0.983333,-1.13788,0.0983333,2.39012,0.983333,All
2.8474,0.991667,-1.13406,0.0991667,2.58512,0.991667,All
2.93256,1,-1.10731,0.1,2.69311,1,All
4,1,-1.10692,0.100833,4,1,All
,,-1.1005,0.101667,,,All
,,-1.09599,0.1025,,,All
,,-1.09258,0.103333,,,All
,,-1.08923,0.104167,,,All
,,-1.08276,0.105,,,All
,,-1.08246,0.105833,,,All
,,-1.07738,0.106667,,,All
,,-1.07376,0.1075,,,All
,,-1.07311,0.108333,,,All
,,-1.07256,0.109167,,,All
,,-1.06147,0.11,,,All
,,-1.05858,0.110833,,,All
,,-1.05042,0.111667,,,All
,,-1.04676,0.1125,,,All
,,-1.0418,0.113333,,,All
,,-1.03892,0.114167,,,All
,,-1.03444,0.115,,,All
,,-1.02329,0.115833,,,All
,,-1.01154,0.116667,,,All
,,-1.01094,0.1175,,,All
,,-1.00853,0.118333,,,All
,,-1.00551,0.119167,,,All
,,-0.9993,0.12,,,All
,,-0.997839,0.120833,,,All
,,-0.995933,0.121667,,,All
,,-0.993997,0.1225,,,All
,,-0.993349,0.123333,,,All
,,-0.991329,0.124167,,,All
,,-0.982067,0.125,,,All
,,-0.979173,0.125833,,,All
,,-0.971255,0.126667,,,All
,,-0.958104,0.1275,,,All
,,-0.957666,0.128333,,,All
,,-0.938144,0.129167,,,All
,,-0.921178,0.13,,,All
,,-0.92117,0.130833,,,All
,,-0.906153,0.131667,,,All
,,-0.905738,0.1325,,,All
,,-0.900866,0.133333,,,All
,,-0.899597,0.134167,,,All
,,-0.892393,0.135,,,All
,,-0.891732,0.135833,,,All
,,-0.891438,0.136667,,,All
,,-0.8903,0.1375,,,All
,,-0.889561,0.138333,,,All
,,-0.88194,0.139167,,,All
,,-0.879123,0.14,,,All
,,-0.878095,0.140833,,,All
,,-0.876479,0.141667,,,All
,,-0.874957,0.1425,,,All
,,-0.87461,0.143333,,,All
,,-0.873709,0.144167,,,All
,,-0.87278,0.145,,,All
,,-0.872346,0.145833,,,All
,,-0.870389,0.146667,,,All
,,-0.869499,0.1475,,,All
,,-0.868606,0.148333,,,All
,,-0.861586,0.149167,,,All
,,-0.857955,0.15,,,All
,,-0.854765,0.150833,,,All
,,-0.854517,0.151667,,,All
,,-0.854278,0.1525,,,All
,,-0.853027,0.153333,,,All
,,-0.849571,0.154167,,,All
,,-0.847268,0.155,,,All
,,-0.847046,0.155833,,,All
,,-0.844732,0.156667,,,All
,,-0.842912,0.1575,,,All
,,-0.837507,0.158333,,,All
,,-0.832569,0.159167,,,All
,,-0.830088,0.16,,,All
,,-0.82261,0.160833,,,All
,,-0.820252,0.161667,,,All
,,-0.819301,0.1625,,,All
,,-0.816508,0.163333,,,All
,,-0.813953,0.164167,,,All
,,-0.810502,0.165,,,All
,,-0.807822,0.165833,,,All
,,-0.799363,0.166667,,,All
,,-0.79797,0.1675,,,All
,,-0.797576,0.168333,,,All
,,-0.793672,0.169167,,,All
,,-0.792669,0.17,,,All
,,-0.786902,0.170833,,,All
,,-0.779423,0.171667,,,All
,,-0.775493,0.1725,,,All
,,-0.771655,0.173333,,,All
,,-0.770382,0.174167,,,All
,,-0.769056,0.175,,,All
,,-0.766478,0.175833,,,All
,,-0.765676,0.176667,,,All
,,-0.764634,0.1775,,,All
,,-0.764062,0.178333,,,All
,,-0.759902,0.179167,,,All
,,-0.757837,0.18,,,All
,,-0.757542,0.180833,,,All
,,-0.757022,0.181667,,,All
,,-0.756533,0.1825,,,All
,,-0.756132,0.183333,,,All
,,-0.75466,0.184167,,,All
,,-0.748754,0.185,,,All
,,-0.746512,0.185833,,,All
,,-0.7336,0.186667,,,All
,,-0.725457,0.1875,,,All
,,-0.720765,0.188333,,,All
,,-0.716245,0.189167,,,All
,,-0.713329,0.19,,,All
,,-0.709144,0.190833,,,All
,,-0.706507,0.191667,,,All
,,-0.703492,0.1925,,,All
,,-0.70037,0.193333,,,All
,,-0.697621,0.194167,,,All
,,-0.694708,0.195,,,All
,,-0.693613,0.195833,,,All
,,-0.689395,0.196667,,,All
,,-0.688778,0.1975,,,All
,,-0.68559,0.198333,,,All
,,-0.68536,0.199167,,,All
,,-0.679772,0.2,,,All
,,-0.674695,0.200833,,,All
,,-0.671894,0.201667,,,All
,,-0.66921,0.2025,,,All
,,-0.664909,0.203333,,,All
,,-0.662014,0.204167,,,All
,,-0.659796,0.205,,,All
,,-0.657747,0.205833,,,All
,,-0.656696,0.206667,,,All
,,-0.655329,0.2075,,,All
,,-0.655242,0.208333,,,All
,,-0.653448,0.209167,,,All
,,-0.652003,0.21,,,All
,,-0.648365,0.210833,,,All
,,-0.646945,0.211667,,,All
,,-0.645604,0.2125,,,All
,,-0.643214,0.213333,,,All
,,-0.639419,0.214167,,,All
,,-0.638429,0.215,,,All
,,-0.636261,0.215833,,,All
,,-0.636007,0.216667,,,All
,,-0.63576,0.2175,,,All
,,-0.635026,0.218333,,,All
,,-0.634658,0.219167,,,All
,,-0.630493,0.22,,,All
,,-0.630043,0.220833,,,All
,,-0.6278,0.221667,,,All
,,-0.627126,0.2225,,,All
,,-0.62645,0.223333,,,All
,,-0.623965,0.224167,,,All
,,-0.621487,0.225,,,All
,,-0.619082,0.225833,,,All
,,-0.617343,0.226667,,,All
,,-0.615305,0.2275,,,All
,,-0.612804,0.228333,,,All
,,-0.610658,0.229167,,,All
,,-0.609668,0.23,,,All
,,-0.608138,0.230833,,,All
,,-0.605716,0.231667,,,All
,,-0.603921,0.2325,,,All
,,-0.603586,0.233333,,,All
,,-0.602787,0.234167,,,All
,,-0.600405,0.235,,,All
,,-0.600106,0.235833,,,All
,,-0.593268,0.236667,,,All
,,-0.590405,0.2375,,,All
,,-0.590209,0.238333,,,All
,,-0.587376,0.239167,,,All
,,-0.587073,0.24,,,All
,,-0.585369,0.240833,,,All
,,-0.58254,0.241667,,,All
,,-0.581334,0.2425,,,All
,,-0.576024,0.243333,,,All
,,-0.575824,0.244167,,,All
,,-0.573984,0.245,,,All
,,-0.571304,0.245833,,,All
,,-0.571193,0.246667,,,All
,,-0.568857,0.2475,,,All
,,-0.564932,0.248333,,,All
,,-0.563857,0.249167,,,All
,,-0.559309,0.25,,,All
,,-0.557632,0.250833,,,All
,,-0.556352,0.251667,,,All
,,-0.55542,0.2525,,,All
,,-0.555152,0.253333,,,All
,,-0.554721,0.254167,,,All
,,-0.550337,0.255,,,All
,,-0.542814,0.255833,,,All
,,-0.540534,0.256667,,,All
,,-0.538237,0.2575,,,All
,,-0.533958,0.258333,,,All
,,-0.530823,0.259167,,,All
,,-0.529233,0.26,,,All
,,-0.525698,0.260833,,,All
,,-0.523317,0.261667,,,All
,,-0.522389,0.2625,,,All
,,-0.519736,0.263333,,,All
,,-0.519172,0.264167,,,All
,,-0.518459,0.265,,,All
,,-0.51721,0.265833,,,All
,,-0.513864,0.266667,,,All
,,-0.513277,0.2675,,,All
,,-0.512918,0.268333,,,All
,,-0.506835,0.269167,,,All
,,-0.504733,0.27,,,All
,,-0.502429,0.270833,,,All
,,-0.497399,0.271667,,,All
,,-0.496604,0.2725,,,All
,,-0.491763,0.273333,,,All
,,-0.488221,0.274167,,,All
,,-0.486955,0.275,,,All
,,-0.486058,0.275833,,,All
,,-0.485852,0.276667,,,All
,,-0.48451,0.2775,,,All
,,-0.484239,0.278333,,,All
,,-0.476994,0.279167,,,All
,,-0.476415,0.28,,,All
,,-0.475098,0.280833,,,All
,,-0.473769,0.281667,,,All
,,-0.470285,0.2825,,,All
,,-0.470055,0.283333,,,All
,,-0.469949,0.284167,,,All
,,-0.469614,0.285,,,All
,,-0.46765,0.285833,,,All
,,-0.46608,0.286667,,,All
,,-0.463665,0.2875,,,All
,,-0.463456,0.288333,,,All
,,-0.462596,0.289167,,,All
,,-0.460183,0.29,,,All
,,-0.459907,0.290833,,,All
,,-0.459745,0.291667,,,All
,,-0.456127,0.2925,,,All
,,-0.453118,0.293333,,,All
,,-0.451484,0.294167,,,All
,,-0.450967,0.295,,,All
,,-0.448321,0.295833,,,All
,,-0.448052,0.296667,,,All
,,-0.446454,0.2975,,,All
,,-0.446311,0.298333,,,All
,,-0.444928,0.299167,,,All
,,-0.444459,0.3,,,All
,,-0.443548,0.300833,,,All
,,-0.441081,0.301667,,,All
,,-0.44009,0.3025,,,All
,,-0.437938,0.303333,,,All
,,-0.437699,0.304167,,,All
,,-0.434254,0.305,,,All
,,-0.433922,0.305833,,,All
,,-0.431834,0.306667,,,All
,,-0.428744,0.3075,,,All
,,-0.428145,0.308333,,,All
,,-0.427023,0.309167,,,All
,,-0.423729,0.31,,,All
,,-0.422988,0.310833,,,All
,,-0.422683,0.311667,,,All
,,-0.42234,0.3125,,,All
,,-0.421707,0.313333,,,All
,,-0.420643,0.314167,,,All
,,-0.419916,0.315,,,All
,,-0.416834,0.315833,,,All
,,-0.413041,0.316667,,,All
,,-0.409941,0.3175,,,All
,,-0.400505,0.318333,,,All
,,-0.398161,0.319167,,,All
,,-0.396875,0.32,,,All
,,-0.394447,0.320833,,,All
,,-0.394329,0.321667,,,All
,,-0.39183,0.3225,,,All
,,-0.388555,0.323333,,,All
,,-0.385733,0.324167,,,All
,,-0.383503,0.325,,,All
,,-0.378182,0.325833,,,All
,,-0.372884,0.326667,,,All
,,-0.366956,0.3275,,,All
,,-0.365241,0.328333,,,All
,,-0.364702,0.329167,,,All
,,-0.363998,0.33,,,All
,,-0.363832,0.330833,,,All
,,-0.361028,0.331667,,,All
,,-0.360914,0.3325,,,All
,,-0.360621,0.333333,,,All
,,-0.359175,0.334167,,,All
,,-0.356991,0.335,,,All
,,-0.354332,0.335833,,,All
,,-0.35213,0.336667,,,All
,,-0.351365,0.3375,,,All
,,-0.351316,0.338333,,,All
,,-0.348589,0.339167,,,All
,,-0.348478,0.34,,,All
,,-0.347845,0.340833,,,All
,,-0.34688,0.341667,,,All
,,-0.344958,0.3425,,,All
,,-0.342969,0.343333,,,All
,,-0.341833,0.344167,,,All
,,-0.341666,0.345,,,All
,,-0.340858,0.345833,,,All
,,-0.334554,0.346667,,,All
,,-0.333626,0.3475,,,All
,,-0.332089,0.348333,,,All
,,-0.330819,0.349167,,,All
,,-0.329716,0.35,,,All
,,-0.325231,0.350833,,,All
,,-0.325008,0.351667,,,All
,,-0.320941,0.3525,,,All
,,-0.320893,0.353333,,,All
,,-0.312499,0.354167,,,All
,,-0.311995,0.355,,,All
,,-0.31118,0.355833,,,All
,,-0.307715,0.356667,,,All
,,-0.307528,0.3575,,,All
,,-0.304984,0.358333,,,All
,,-0.303428,0.359167,,,All
,,-0.302011,0.36,,,All
,,-0.299694,0.360833,,,All
,,-0.298447,0.361667,,,All
,,-0.296919,0.3625,,,All
,,-0.295419,0.363333,,,All
,,-0.294477,0.364167,,,All
,,-0.292171,0.365,,,All
,,-0.291356,0.365833,,,All
,,-0.288331,0.366667,,,All
,,-0.288122,0.3675,,,All
,,-0.287219,0.368333,,,All
,,-0.284935,0.369167,,,All
,,-0.284583,0.37,,,All
,,-0.280901,0.370833,,,All
,,-0.278789,0.371667,,,All
,,-0.276279,0.3725,,,All
,,-0.273219,0.373333,,,All
,,-0.269653,0.374167,,,All
,,-0.26816,0.375,,,All
,,-0.26521,0.375833,,,All
,,-0.263533,0.376667,,,All
,,-0.263101,0.3775,,,All
,,-0.262761,0.378333,,,All
,,-0.259215,0.379167,,,All
,,-0.258121,0.38,,,All
,,-0.258043,0.380833,,,All
,,-0.257106,0.381667,,,All
,,-0.256777,0.3825,,,All
,,-0.25226,0.383333,,,All
,,-0.251436,0.384167,,,All
,,-0.248866,0.385,,,All
,,-0.248626,0.385833,,,All
,,-0.247725,0.386667,,,All
,,-0.243692,0.3875,,,All
,,-0.243579,0.388333,,,All
,,-0.241379,0.389167,,,All
,,-0.235162,0.39,,,All
,,-0.235072,0.390833,,,All
,,-0.234692,0.391667,,,All
,,-0.234183,0.3925,,,All
,,-0.231519,0.393333,,,All
,,-0.231428,0.394167,,,All
,,-0.22947,0.395,,,All
,,-0.22887,0.395833,,,All
,,-0.226624,0.396667,,,All
,,-0.225828,0.3975,,,All
,,-0.224818,0.398333,,,All
,,-0.223871,0.399167,,,All
,,-0.22189,0.4,,,All
,,-0.221511,0.400833,,,All
,,-0.219633,0.401667,,,All
,,-0.216828,0.4025,,,All
,,-0.214871,0.403333,,,All
,,-0.214121,0.404167,,,All
,,-0.212671,0.405,,,All
,,-0.211518,0.405833,,,All
,,-0.210436,0.406667,,,All
,,-0.209552,0.4075,,,All
,,-0.208746,0.408333,,,All
,,-0.208151,0.409167,,,All
,,-0.206601,0.41,,,All
,,-0.198006,0.410833,,,All
,,-0.197126,0.411667,,,All
,,-0.196981,0.4125,,,All
,,-0.196873,0.413333,,,All
,,-0.1958,0.414167,,,All
,,-0.195115,0.415,,,All
,,-0.194651,0.415833,,,All
,,-0.193115,0.416667,,,All
,,-0.192207,0.4175,,,All
,,-0.191838,0.418333,,,All
,,-0.190794,0.419167,,,All
,,-0.189041,0.42,,,All
,,-0.188423,0.420833,,,All
,,-0.187914,0.421667,,,All
,,-0.187817,0.4225,,,All
,,-0.187027,0.423333,,,All
,,-0.185599,0.424167,,,All
,,-0.185003,0.425,,,All
,,-0.182615,0.425833,,,All
,,-0.180674,0.426667,,,All
,,-0.177081,0.4275,,,All
,,-0.171799,0.428333,,,All
,,-0.167947,0.429167,,,All
,,-0.167626,0.43,,,All
,,-0.1672,0.430833,,,All
,,-0.167051,0.431667,,,All
,,-0.166369,0.4325,,,All
,,-0.165076,0.433333,,,All
,,-0.160983,0.434167,,,All
,,-0.160162,0.435,,,All
,,-0.155177,0.435833,,,All
,,-0.149688,0.436667,,,All
,,-0.148634,0.4375,,,All
,,-0.147898,0.438333,,,All
,,-0.147147,0.439167,,,All
,,-0.14428,0.44,,,All
,,-0.141456,0.440833,,,All
,,-0.139386,0.441667,,,All
,,-0.138575,0.4425,,,All
,,-0.138388,0.443333,,,All
,,-0.137405,0.444167,,,All
,,-0.136857,0.445,,,All
,,-0.135487,0.445833,,,All
,,-0.135373,0.446667,,,All
,,-0.130379,0.4475,,,All
,,-0.129049,0.448333,,,All
,,-0.128565,0.449167,,,All
,,-0.128535,0.45,,,All
,,-0.124599,0.450833,,,All
,,-0.122138,0.451667,,,All
,,-0.120177,0.4525,,,All
,,-0.119888,0.453333,,,All
,,-0.119495,0.454167,,,All
,,-0.119152,0.455,,,All
,,-0.116264,0.455833,,,All
,,-0.116229,0.456667,,,All
,,-0.115671,0.4575,,,All
,,-0.113973,0.458333,,,All
,,-0.113637,0.459167,,,All
,,-0.113442,0.46,,,All
,,-0.112379,0.460833,,,All
,,-0.110952,0.461667,,,All
,,-0.10784,0.4625,,,All
,,-0.107612,0.463333,,,All
,,-0.106545,0.464167,,,All
,,-0.105908,0.465,,,All
,,-0.10491,0.465833,,,All
,,-0.103582,0.466667,,,All
,,-0.103572,0.4675,,,All
,,-0.102276,0.468333,,,All
,,-0.102203,0.469167,,,All
,,-0.101197,0.47,,,All
,,-0.0998147,0.470833,,,All
,,-0.0991386,0.471667,,,All
,,-0.0978824,0.4725,,,All
,,-0.096656,0.473333,,,All
,,-0.0965516,0.474167,,,All
,,-0.0956956,0.475,,,All
,,-0.0940445,0.475833,,,All
,,-0.0929726,0.476667,,,All
,,-0.0915613,0.4775,,,All
,,-0.0872307,0.478333,,,All
,,-0.0862129,0.479167,,,All
,,-0.0860683,0.48,,,All
,,-0.0816033,0.480833,,,All
,,-0.0815421,0.481667,,,All
,,-0.0800824,0.4825,,,All
,,-0.0787444,0.483333,,,All
,,-0.0780001,0.484167,,,All
,,-0.0778595,0.485,,,All
,,-0.0745276,0.485833,,,All
,,-0.0736363,0.486667,,,All
,,-0.0732767,0.4875,,,All
,,-0.0719312,0.488333,,,All
,,-0.0717268,0.489167,,,All
,,-0.0685208,0.49,,,All
,,-0.066889,0.490833,,,All
,,-0.0668029,0.491667,,,All
,,-0.0605922,0.4925,,,All
,,-0.0603906,0.493333,,,All
,,-0.0600304,0.494167,,,All
,,-0.0589187,0.495,,,All
,,-0.0563947,0.495833,,,All
,,-0.0551578,0.496667,,,All
,,-0.0546469,0.4975,,,All
,,-0.0543268,0.498333,,,All
,,-0.0536724,0.499167,,,All
,,-0.0532393,0.5,,,All
,,-0.0531241,0.500833,,,All
,,-0.0527104,0.501667,,,All
,,-0.0521555,0.5025,,,All
,,-0.0496068,0.503333,,,All
,,-0.0477907,0.504167,,,All
,,-0.0469864,0.505,,,All
,,-0.0469482,0.505833,,,All
,,-0.0459072,0.506667,,,All
,,-0.0444484,0.5075,,,All
,,-0.0431071,0.508333,,,All
,,-0.043076,0.509167,,,All
,,-0.0423329,0.51,,,All
,,-0.0405323,0.510833,,,All
,,-0.0358684,0.511667,,,All
,,-0.0358255,0.5125,,,All
,,-0.0345386,0.513333,,,All
,,-0.0343295,0.514167,,,All
,,-0.0331641,0.515,,,All
,,-0.0331369,0.515833,,,All
,,-0.031483,0.516667,,,All
,,-0.0264171,0.5175,,,All
,,-0.025041,0.518333,,,All
,,-0.0240005,0.519167,,,All
,,-0.0238556,0.52,,,All
,,-0.0232997,0.520833,,,All
,,-0.0198607,0.521667,,,All
,,-0.0175241,0.5225,,,All
,,-0.0155373,0.523333,,,All
,,-0.014536,0.524167,,,All
,,-0.0141313,0.525,,,All
,,-0.0139023,0.525833,,,All
,,-0.00932185,0.526667,,,All
,,-0.00834849,0.5275,,,All
,,-0.00660943,0.528333,,,All
,,-0.00540042,0.529167,,,All
,,-0.00521087,0.53,,,All
,,-0.00294006,0.530833,,,All
,,0.00293907,0.531667,,,All
,,0.0061326,0.5325,,,All
,,0.00839233,0.533333,,,All
,,0.01144,0.534167,,,All
,,0.01223,0.535,,,All
,,0.0134649,0.535833,,,All
,,0.0174737,0.536667,,,All
,,0.0189635,0.5375,,,All
,,0.0202176,0.538333,,,All
,,0.0228767,0.539167,,,All
,,0.0245898,0.54,,,All
,,0.0246249,0.540833,,,All
,,0.0316722,0.541667,,,All
,,0.0325398,0.5425,,,All
,,0.0325874,0.543333,,,All
,,0.0356503,0.544167,,,All
,,0.0360073,0.545,,,All
,,0.0365922,0.545833,,,All
,,0.0371813,0.546667,,,All
,,0.0373548,0.5475,,,All
,,0.0387973,0.548333,,,All
,,0.0389014,0.549167,,,All
,,0.0412256,0.55,,,All
,,0.0421915,0.550833,,,All
,,0.0438875,0.551667,,,All
,,0.0457326,0.5525,,,All
,,0.0491685,0.553333,,,All
,,0.0503434,0.554167,,,All
,,0.0511445,0.555,,,All
,,0.0514921,0.555833,,,All
,,0.0541538,0.556667,,,All
,,0.0553108,0.5575,,,All
,,0.0554227,0.558333,,,All
,,0.0588613,0.559167,,,All
,,0.0607631,0.56,,,All
,,0.0685041,0.560833,,,All
,,0.0695694,0.561667,,,All
,,0.0705773,0.5625,,,All
,,0.0723201,0.563333,,,All
,,0.0736113,0.564167,,,All
,,0.0745039,0.565,,,All
,,0.0745045,0.565833,,,All
,,0.0745865,0.566667,,,All
,,0.0757247,0.5675,,,All
,,0.0807058,0.568333,,,All
,,0.0811425,0.569167,,,All
,,0.0815551,0.57,,,All
,,0.0817836,0.570833,,,All
,,0.0826213,0.571667,,,All
,,0.0828636,0.5725,,,All
,,0.0842766,0.573333,,,All
,,0.0845987,0.574167,,,All
,,0.0872207,0.575,,,All
,,0.0877931,0.575833,,,All
,,0.0885405,0.576667,,,All
,,0.0893106,0.5775,,,All
,,0.0914091,0.578333,,,All
,,0.099305,0.579167,,,All
,,0.10164,0.58,,,All
