Cl_vs_V_abscissa,Cl_vs_V_spline,Cl_vs_V_regression,Cl_vs_ka_abscissa,Cl_vs_ka_spline,Cl_vs_ka_regression,V_vs_Cl_abscissa,V_vs_Cl_spline,V_vs_Cl_regression,V_vs_ka_abscissa,V_vs_ka_spline,V_vs_ka_regression,ka_vs_Cl_abscissa,ka_vs_Cl_spline,ka_vs_Cl_regression,ka_vs_V_abscissa,ka_vs_V_spline,ka_vs_V_regression
-0.228684,-0.251613,-0.291759,-0.685881,-0.0200131,0.0265768,-0.754383,-0.173849,-0.161566,-0.685881,0.00427445,0.0160586,-0.754383,0.193408,0.218807,-0.228684,0.352411,0.117911
-0.2234,-0.251651,-0.285391,-0.657256,-0.0179407,0.0250074,-0.738675,-0.172533,-0.158063,-0.657256,0.00445735,0.015564,-0.738675,0.192496,0.214235,-0.2234,0.322631,0.115292
-0.218115,-0.251688,-0.279022,-0.628632,-0.0114719,0.0234381,-0.722968,-0.169328,-0.15456,-0.628632,0.00389419,0.0150695,-0.722968,0.192334,0.209664,-0.218115,0.292851,0.112672
-0.21283,-0.251726,-0.272654,-0.600007,-0.00242295,0.0218687,-0.70726,-0.165073,-0.151058,-0.600007,0.00301095,0.0145749,-0.70726,0.192589,0.205092,-0.21283,0.263071,0.110053
-0.207545,-0.251763,-0.266285,-0.571382,0.00838263,0.0202994,-0.691553,-0.160818,-0.147555,-0.571382,0.0020329,0.0140803,-0.691553,0.192843,0.200521,-0.207545,0.233291,0.107434
-0.202261,-0.251717,-0.259917,-0.542758,0.0202271,0.01873,-0.675845,-0.156563,-0.144053,-0.542758,0.00119549,0.0135858,-0.675845,0.193098,0.195949,-0.202261,0.205581,0.104815
-0.196976,-0.251523,-0.253549,-0.514133,0.0319377,0.0171606,-0.660138,-0.152309,-0.14055,-0.514133,0.00086691,0.0130912,-0.660138,0.193352,0.191378,-0.196976,0.181532,0.102195
-0.191691,-0.251328,-0.24718,-0.485508,0.0426806,0.0155913,-0.64443,-0.147476,-0.137047,-0.485508,0.0011783,0.0125967,-0.64443,0.193809,0.186807,-0.191691,0.157483,0.0995761
-0.186406,-0.251134,-0.240812,-0.456884,0.0511848,0.0140219,-0.628723,-0.141577,-0.133545,-0.456884,0.00258565,0.0121021,-0.628723,0.194637,0.182235,-0.186406,0.133434,0.0969569
-0.181121,-0.25094,-0.234443,-0.428259,0.0561058,0.0124525,-0.613015,-0.135517,-0.130042,-0.428259,0.00545798,0.0116076,-0.613015,0.195509,0.177664,-0.181121,0.109385,0.0943376
-0.175837,-0.250745,-0.228075,-0.399634,0.0584133,0.0108832,-0.597308,-0.129005,-0.126539,-0.399634,0.00927635,0.011113,-0.597308,0.196492,0.173092,-0.175837,0.0853355,0.0917183
-0.170552,-0.250212,-0.221706,-0.371009,0.0581805,0.00931379,-0.5816,-0.122629,-0.123037,-0.371009,0.0139288,0.0106184,-0.5816,0.1973,0.168521,-0.170552,0.0630082,0.0890991
-0.165267,-0.248874,-0.215338,-0.342385,0.05518,0.00774442,-0.565893,-0.116926,-0.119534,-0.342385,0.019248,0.0101239,-0.565893,0.197238,0.16395,-0.165267,0.0447776,0.0864798
-0.159982,-0.246945,-0.20897,-0.31376,0.0501994,0.00617506,-0.550185,-0.111223,-0.116032,-0.31376,0.02478,0.00962933,-0.550185,0.197176,0.159378,-0.159982,0.0288172,0.0838605
-0.154697,-0.244628,-0.202601,-0.285135,0.0437657,0.00460569,-0.534477,-0.10552,-0.112529,-0.285135,0.0301822,0.00913477,-0.534477,0.197114,0.154807,-0.154697,0.0142744,0.0812413
-0.149413,-0.241588,-0.196233,-0.256511,0.0363327,0.00303632,-0.51877,-0.0998166,-0.109026,-0.256511,0.0351413,0.00864021,-0.51877,0.197053,0.150235,-0.149413,0.00224451,0.078622
-0.144128,-0.237836,-0.189864,-0.227886,0.0282755,0.00146696,-0.503062,-0.0941135,-0.105524,-0.227886,0.0392744,0.00814565,-0.503062,0.196991,0.145664,-0.144128,-0.00744809,0.0760027
-0.138843,-0.23338,-0.183496,-0.199261,0.0200774,-0.000102408,-0.487355,-0.0884103,-0.102021,-0.199261,0.0423842,0.0076511,-0.487355,0.196929,0.141092,-0.138843,-0.0149043,0.0733834
-0.133558,-0.227762,-0.177128,-0.170637,0.0121313,-0.00167177,-0.471647,-0.0827072,-0.0985183,-0.170637,0.0440859,0.00715654,-0.471647,0.196868,0.136521,-0.133558,-0.018833,0.0707642
-0.128274,-0.221964,-0.170759,-0.142012,0.00490041,-0.00324114,-0.45594,-0.0770041,-0.0950157,-0.142012,0.0439607,0.00666198,-0.45594,0.196806,0.13195,-0.128274,-0.0222227,0.0681449
-0.122989,-0.214801,-0.164391,-0.113387,-0.00168087,-0.00481051,-0.440232,-0.0713009,-0.0915131,-0.113387,0.0420158,0.00616742,-0.440232,0.196744,0.127378,-0.122989,-0.0217051,0.0655256
-0.117704,-0.206703,-0.158022,-0.0847625,-0.00821074,-0.00637987,-0.424525,-0.0655978,-0.0880104,-0.0847625,0.0383907,0.00567286,-0.424525,0.196682,0.122807,-0.117704,-0.018826,0.0629064
-0.112419,-0.198017,-0.151654,-0.0561378,-0.0154573,-0.00794924,-0.408817,-0.0598946,-0.0845078,-0.0561378,0.0332836,0.00517831,-0.408817,0.196621,0.118235,-0.112419,-0.014702,0.0602871
-0.107134,-0.188422,-0.145285,-0.0275131,-0.0237069,-0.0095186,-0.39311,-0.0541915,-0.0810052,-0.0275131,0.0271878,0.00468375,-0.39311,0.196559,0.113664,-0.107134,-0.00887834,0.0576678
-0.10185,-0.177725,-0.138917,0.00111157,-0.0343261,-0.011088,-0.377402,-0.0484884,-0.0775025,0.00111157,0.0199214,0.00418919,-0.377402,0.196497,0.109093,-0.10185,-0.00179577,0.0550486
-0.0965648,-0.166854,-0.132549,0.0297363,-0.0468937,-0.0126573,-0.361695,-0.0427852,-0.0739999,0.0297363,0.0120896,0.00369463,-0.361695,0.196435,0.104521,-0.0965648,0.00544811,0.0524293
-0.09128,-0.155107,-0.12618,0.058361,-0.062486,-0.0142267,-0.345987,-0.0370821,-0.0704973,0.058361,0.00370426,0.00320008,-0.345987,0.196374,0.0999497,-0.09128,0.0128679,0.04981
-0.0859952,-0.142799,-0.119812,0.0869857,-0.0800949,-0.0157961,-0.33028,-0.0318713,-0.0669946,0.0869857,-0.00480412,0.00270552,-0.33028,0.195988,0.0953783,-0.0859952,0.0200718,0.0471907
-0.0807104,-0.129863,-0.113443,0.11561,-0.098505,-0.0173654,-0.314572,-0.0304325,-0.063492,0.11561,-0.013053,0.00221096,-0.314572,0.193116,0.0908068,-0.0807104,0.0264734,0.0445715
-0.0754256,-0.116432,-0.107075,0.144235,-0.116572,-0.0189348,-0.298864,-0.0289937,-0.0599894,0.144235,-0.0206559,0.0017164,-0.298864,0.190245,0.0862354,-0.0754256,0.031742,0.0419522
-0.0701409,-0.102494,-0.100707,0.17286,-0.133223,-0.0205042,-0.283157,-0.02839,-0.0564867,0.17286,-0.0272515,0.00122184,-0.283157,0.186878,0.081664,-0.0701409,0.0352841,0.0393329
-0.0648561,-0.0881599,-0.0943381,0.201484,-0.145747,-0.0220735,-0.267449,-0.0289028,-0.0529841,0.201484,-0.0316984,0.000727287,-0.267449,0.182854,0.0770926,-0.0648561,0.0365536,0.0367137
-0.0595713,-0.0737826,-0.0879697,0.230109,-0.157052,-0.0236429,-0.251742,-0.0309699,-0.0494814,0.230109,-0.0355482,0.000232729,-0.251742,0.17793,0.0725212,-0.0595713,0.0360106,0.0340944
-0.0542865,-0.0595449,-0.0816013,0.258734,-0.162793,-0.0252123,-0.236034,-0.0330742,-0.0459788,0.258734,-0.0368832,-0.000261829,-0.236034,0.172983,0.0679498,-0.0542865,0.0337646,0.0314751
-0.0490017,-0.0457882,-0.0752329,0.287359,-0.16155,-0.0267816,-0.220327,-0.0365626,-0.0424762,0.287359,-0.0352224,-0.000756387,-0.220327,0.1667,0.0633783,-0.0490017,0.0295087,0.0288559
-0.0437169,-0.0328719,-0.0688645,0.315983,-0.155799,-0.028351,-0.204619,-0.0408412,-0.0389735,0.315983,-0.0316763,-0.00125094,-0.204619,0.159419,0.0588069,-0.0437169,0.0233255,0.0262366
-0.0384321,-0.021146,-0.0624961,0.344608,-0.143716,-0.0299204,-0.188912,-0.0451198,-0.0354709,0.344608,-0.0255206,-0.0017455,-0.188912,0.152138,0.0542355,-0.0384321,0.0153071,0.0236173
-0.0331473,-0.0120787,-0.0561276,0.373233,-0.127443,-0.0314897,-0.173204,-0.0492903,-0.0319683,0.373233,-0.0176786,-0.00224006,-0.173204,0.142073,0.0496641,-0.0331473,0.00446305,0.020998
-0.0278626,-0.00301139,-0.0497592,0.401857,-0.106947,-0.0330591,-0.157497,-0.0527277,-0.0284656,0.401857,-0.00817856,-0.00273462,-0.157497,0.129145,0.0450927,-0.0278626,-0.00638101,0.0183788
-0.0225778,0.00411141,-0.0433908,0.430482,-0.081733,-0.0346285,-0.141789,-0.054961,-0.024963,0.430482,0.00300738,-0.00322918,-0.141789,0.113161,0.0405213,-0.0225778,-0.0187387,0.0157595
-0.017293,0.00840272,-0.0370224,0.459107,-0.0557643,-0.0361978,-0.126082,-0.0551236,-0.0214604,0.459107,0.0144632,-0.00372373,-0.126082,0.0928756,0.0359498,-0.017293,-0.0330759,0.0131402
-0.0120082,0.00989435,-0.030654,0.487731,-0.0297956,-0.0377672,-0.110374,-0.0530966,-0.0179577,0.487731,0.025919,-0.00421829,-0.110374,0.0685207,0.0313784,-0.0120082,-0.0489579,0.010521
-0.00672341,0.00903972,-0.0242856,0.516356,-0.00143309,-0.0393366,-0.0946666,-0.0481078,-0.0144551,0.516356,0.0380072,-0.00471285,-0.0946666,0.0390352,0.026807,-0.00672341,-0.0659388,0.0079017
-0.00143862,0.00666383,-0.0179171,0.544981,0.0272664,-0.0409059,-0.078959,-0.039908,-0.0109525,0.544981,0.049816,-0.00520741,-0.078959,0.00466846,0.0222356,-0.00143862,-0.0834991,0.00528243
0.00384616,0.00322059,-0.0115487,0.573606,0.0557915,-0.0424753,-0.0632515,-0.0294366,-0.00744983,0.573606,0.0614755,-0.00570196,-0.0632515,-0.0308783,0.0176642,0.00384616,-0.101236,0.00266316
0.00913095,-0.000777392,-0.0051803,0.60223,0.0825817,-0.0440447,-0.047544,-0.0179608,-0.0039472,0.60223,0.0719065,-0.00619652,-0.047544,-0.0621549,0.0130928,0.00913095,-0.118644,4.3886e-05
0.0144157,-0.00477615,0.00118811,0.630855,0.107207,-0.045614,-0.0318364,-0.00662798,-0.000444565,0.630855,0.0810335,-0.00669108,-0.0318364,-0.0871299,0.00852134,0.0144157,-0.135572,-0.00257538
0.0197005,-0.00782962,0.00755653,0.65948,0.130094,-0.0471834,-0.0161289,0.00320975,0.00305807,0.65948,0.0892005,-0.00718564,-0.0161289,-0.0984842,0.00394992,0.0197005,-0.150889,-0.00519465
0.0249853,-0.0102197,0.0139249,0.688104,0.148733,-0.0487528,-0.000421372,0.0102198,0.0065607,0.688104,0.0950209,-0.0076802,-0.000421372,-0.0917915,-0.000621496,0.0249853,-0.165334,-0.00781392
0.0302701,-0.0103573,0.0202934,0.716729,0.165007,-0.0503221,0.0152862,0.0140656,0.0100633,0.716729,0.0995903,-0.00817475,0.0152862,-0.0672924,-0.00519291,0.0302701,-0.177209,-0.0104332
0.0355549,-0.00793843,0.0266618,0.745354,0.166432,-0.0518915,0.0309937,0.0141816,0.013566,0.745354,0.0964773,-0.00866931,0.0309937,-0.0249349,-0.00976433,0.0355549,-0.186462,-0.0130525
0.0408397,-0.00342351,0.0330302,0.773978,0.167858,-0.0534609,0.0467012,0.0136457,0.0170686,0.773978,0.0933643,-0.00916387,0.0467012,0.0145663,-0.0143357,0.0408397,-0.193615,-0.0156717
0.0461245,0.0046128,0.0393986,0.802603,0.169283,-0.0550302,0.0624088,0.0153358,0.0205712,0.802603,0.0902513,-0.00965843,0.0624088,0.0311076,-0.0189072,0.0461245,-0.197135,-0.018291
0.0514092,0.0149031,0.045767,0.831228,0.170708,-0.0565996,0.0781163,0.0213572,0.0240739,0.831228,0.0871383,-0.010153,0.0781163,0.0108647,-0.0234786,0.0514092,-0.197954,-0.0209103
0.056694,0.027605,0.0521354,0.859852,0.172134,-0.0581689,0.0938238,0.0307204,0.0275765,0.859852,0.0840254,-0.0106475,0.0938238,-0.0361461,-0.02805,0.056694,-0.195035,-0.0235295
0.0619788,0.0412245,0.0585039,0.888477,0.173452,-0.0597383,0.109531,0.0412644,0.0310791,0.888477,0.0808588,-0.0111421,0.109531,-0.0907336,-0.0326214,0.0619788,-0.190084,-0.0261488
0.0672636,0.0558251,0.0648723,0.917102,0.163377,-0.0613077,0.125239,0.0509186,0.0345818,0.917102,0.0720299,-0.0116367,0.125239,-0.134549,-0.0371928,0.0672636,-0.181288,-0.0287681
0.0725484,0.0705901,0.0712407,0.945727,0.147939,-0.062877,0.140946,0.0585426,0.0380844,0.945727,0.060863,-0.0121312,0.140946,-0.158014,-0.0417642,0.0725484,-0.170009,-0.0313874
0.0778332,0.0848693,0.0776091,0.974351,0.129938,-0.0644464,0.156654,0.0644046,0.041587,0.974351,0.0486046,-0.0126258,0.156654,-0.164977,-0.0463357,0.0778332,-0.156777,-0.0340066
0.083118,0.0984846,0.0839775,1.00298,0.111937,-0.0660158,0.172361,0.0687399,0.0450897,1.00298,0.0363461,-0.0131203,0.172361,-0.158928,-0.0509071,0.083118,-0.140877,-0.0366259
0.0884028,0.110575,0.0903459,1.0316,0.0939366,-0.0675851,0.188069,0.0718845,0.0485923,1.0316,0.0240877,-0.0136149,0.188069,-0.14422,-0.0554785,0.0884028,-0.122459,-0.0392452
0.0936875,0.1203,0.0967144,1.06023,0.0759359,-0.0691545,0.203777,0.0740527,0.052095,1.06023,0.0118293,-0.0141094,0.203777,-0.124302,-0.0600499,0.0936875,-0.101234,-0.0418644
0.0989723,0.128478,0.103083,1.08885,0.0579351,-0.0707239,0.219484,0.0755297,0.0555976,1.08885,-0.00042917,-0.014604,0.219484,-0.103559,-0.0646213,0.0989723,-0.0785489,-0.0444837
0.104257,0.134472,0.109451,1.11747,0.0396994,-0.0722932,0.235192,0.0766996,0.0591002,1.11747,-0.012748,-0.0150986,0.235192,-0.0856216,-0.0691927,0.104257,-0.0543103,-0.047103
0.109542,0.138819,0.11582,1.1461,0.0172832,-0.0738626,0.250899,0.0777332,0.0626029,1.1461,-0.0261411,-0.0155931,0.250899,-0.0749968,-0.0737642,0.109542,-0.0294534,-0.0497222
0.114827,0.140681,0.122188,1.17472,-0.00513292,-0.075432,0.266607,0.0787712,0.0661055,1.17472,-0.0395342,-0.0160877,0.266607,-0.0705183,-0.0783356,0.114827,-0.00571722,-0.0523415
0.120111,0.142141,0.128556,1.20335,-0.0275277,-0.0770013,0.282314,0.0798323,0.0696081,1.20335,-0.0528166,-0.0165822,0.282314,-0.07192,-0.082907,0.120111,0.0177468,-0.0549608
0.125396,0.1436,0.134925,1.23197,-0.0497908,-0.0785707,0.298022,0.0809394,0.0731108,1.23197,-0.0654193,-0.0170768,0.298022,-0.0781429,-0.0874784,0.125396,0.0412109,-0.0575801
0.130681,0.144376,0.141293,1.2606,-0.0716526,-0.0801401,0.313729,0.082167,0.0766134,1.2606,-0.077553,-0.0175714,0.313729,-0.0884558,-0.0920498,0.130681,0.0631309,-0.0601993
0.135966,0.143956,0.147662,1.28922,-0.0926581,-0.0817094,0.329437,0.0834303,0.080116,1.28922,-0.0888153,-0.0180659,0.329437,-0.0995918,-0.0966213,0.135966,0.0815579,-0.0628186
0.141251,0.143216,0.15403,1.31785,-0.112107,-0.0832788,0.345144,0.0847407,0.0836187,1.31785,-0.0987075,-0.0185605,0.345144,-0.110474,-0.101193,0.141251,0.0968111,-0.0654379
0.146535,0.142438,0.160399,1.34647,-0.131118,-0.0848482,0.360852,0.0863241,0.0871213,1.34647,-0.108257,-0.019055,0.360852,-0.119883,-0.105764,0.146535,0.10784,-0.0680571
0.15182,0.141907,0.166767,1.3751,-0.146191,-0.0864175,0.376559,0.0879076,0.0906239,1.3751,-0.114723,-0.0195496,0.376559,-0.129292,-0.110336,0.15182,0.115589,-0.0706764
0.157105,0.142089,0.173135,1.40372,-0.161263,-0.0879869,0.392267,0.0895834,0.0941266,1.40372,-0.121189,-0.0200441,0.392267,-0.13676,-0.114907,0.157105,0.119738,-0.0732957
0.16239,0.143339,0.179504,1.43235,-0.176335,-0.0895563,0.407974,0.0915296,0.0976292,1.43235,-0.127656,-0.0205387,0.407974,-0.137972,-0.119478,0.16239,0.12093,-0.0759149
0.167675,0.147343,0.185872,1.46097,-0.18671,-0.0911256,0.423682,0.0936994,0.101132,1.46097,-0.130679,-0.0210333,0.423682,-0.132301,-0.12405,0.167675,0.118278,-0.0785342
0.172959,0.152483,0.192241,1.4896,-0.194351,-0.092695,0.43939,0.0962005,0.104634,1.4896,-0.13177,-0.0215278,0.43939,-0.114483,-0.128621,0.172959,0.114312,-0.0811535
0.178244,0.157623,0.198609,1.51822,-0.191253,-0.0942644,0.455097,0.0991286,0.108137,1.51822,-0.125448,-0.0220224,0.455097,-0.0802537,-0.133193,0.178244,0.110346,-0.0837728
0.183529,0.16702,0.204977,1.54685,-0.188155,-0.0958337,0.470805,0.102057,0.11164,1.54685,-0.119125,-0.0225169,0.470805,-0.0460246,-0.137764,0.183529,0.103525,-0.086392
0.188814,0.180561,0.211346,1.57547,-0.185057,-0.0974031,0.486512,0.104985,0.115142,1.57547,-0.112802,-0.0230115,0.486512,-0.0117955,-0.142335,0.188814,0.0953319,-0.0890113
0.194099,0.196747,0.217714,1.60409,-0.181959,-0.0989725,0.50222,0.108146,0.118645,1.60409,-0.106479,-0.023506,0.50222,0.0328818,-0.146907,0.194099,0.0867895,-0.0916306
0.199383,0.216707,0.224083,1.63272,-0.178862,-0.100542,0.517927,0.11254,0.122148,1.63272,-0.100156,-0.0240006,0.517927,0.1329,-0.151478,0.199383,0.0778398,-0.0942498
0.204668,0.241441,0.230451,1.66134,-0.169037,-0.102111,0.533635,0.116933,0.12565,1.66134,-0.0893338,-0.0244952,0.533635,0.232918,-0.15605,0.204668,0.0691182,-0.0968691
0.209953,0.268936,0.23682,1.68997,-0.146459,-0.103681,0.549342,0.121327,0.129153,1.68997,-0.0699802,-0.0249897,0.549342,0.332936,-0.160621,0.209953,0.0605443,-0.0994884
0.215238,0.305338,0.243188,1.71859,-0.123881,-0.10525,0.56505,0.125721,0.132656,1.71859,-0.0506266,-0.0254843,0.56505,0.432954,-0.165193,0.215238,0.0535429,-0.102108
0.220522,0.342418,0.249556,1.74722,-0.101303,-0.106819,0.580757,0.130115,0.136158,1.74722,-0.031273,-0.0259788,0.580757,0.532972,-0.169764,0.220522,0.0466851,-0.104727
