time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
1.56852,0.0330014,1.56852,-0.00467639,1.56852,0.0107906,1.99778,0.189858,1.80476,-0.315494,1.99778,0.185455,All
1.714,0.0209977,1.714,-0.0398226,1.714,-0.00189699,2.0335,0.188669,1.86049,-0.311458,2.0335,0.183637,All
1.71937,0.0205549,1.71937,-0.0411189,1.71937,-0.00236497,2.10263,0.186365,1.90107,-0.308519,2.10263,0.180117,All
1.88472,0.00691144,1.88472,-0.0810661,1.88472,-0.0167857,2.21298,0.182689,2.00253,-0.299803,2.21298,0.1745,All
2.06597,-0.00175002,2.06597,-0.105906,2.06597,-0.0248283,2.23286,0.182027,2.04629,-0.29275,2.23286,0.173488,All
2.202,-0.00389211,2.202,-0.111802,2.202,-0.0258449,2.32913,0.178819,2.10939,-0.282577,2.32913,0.168588,All
2.26465,-0.00395021,2.26465,-0.111862,2.26465,-0.0253015,2.43222,0.175385,2.22196,-0.264432,2.43222,0.16334,All
2.48244,-0.00415218,2.48244,-0.11207,2.48244,-0.0234128,2.45136,0.174747,2.23208,-0.262801,2.45136,0.162365,All
2.69,-0.00434466,2.69,-0.112268,2.69,-0.0216127,2.58002,0.170017,2.34054,-0.245318,2.58002,0.155975,All
2.72117,-0.00437356,2.72117,-0.112298,2.72117,-0.0213424,2.63158,0.168012,2.41788,-0.233323,2.63158,0.153431,All
2.98286,-0.00461624,2.98286,-0.112548,2.98286,-0.0190729,2.71542,0.164699,2.46545,-0.227089,2.71542,0.149297,All
3.178,-0.0047972,3.178,-0.112735,3.178,-0.0173806,2.83094,0.15999,2.59702,-0.210424,2.83094,0.143601,All
3.26972,-0.00488226,3.26972,-0.112823,3.26972,-0.0165851,2.85794,0.158851,2.60368,-0.209732,2.85794,0.14227,All
3.58417,-0.00411486,3.58417,-0.110744,3.58417,-0.0133252,3.00793,0.152307,2.73561,-0.199782,3.00793,0.134861,All
3.666,-0.00346947,3.666,-0.109427,3.666,-0.0124647,3.0303,0.151293,2.78947,-0.197408,3.0303,0.133753,All
3.92886,-0.00172903,3.92886,-0.106886,3.92886,-0.0106497,3.16579,0.145056,2.8816,-0.195625,3.16579,0.127039,All
4.154,-0.000483924,4.154,-0.106079,4.154,-0.00986066,3.22967,0.141967,2.97527,-0.196855,3.22967,0.123859,All
4.30669,0.000360498,4.30669,-0.105531,4.30669,-0.00932551,3.33194,0.136855,3.03538,-0.198914,3.33194,0.118782,All
4.642,0.00221485,4.642,-0.104329,4.642,-0.00815031,3.42903,0.131942,3.16107,-0.204471,3.42903,0.11408,All
4.72086,0.00265097,4.72086,-0.104046,4.72086,-0.00787392,3.50681,0.128045,3.19737,-0.20667,3.50681,0.110486,All
5.13,0.00547801,5.13,-0.100934,5.13,-0.00549056,3.62839,0.122078,3.34686,-0.216588,3.62839,0.105113,All
5.17486,0.00616853,5.17486,-0.0993863,5.17486,-0.00453821,3.69086,0.119254,3.368,-0.218052,3.69086,0.102732,All
5.618,0.0129893,5.618,-0.0840977,5.618,0.00486887,3.82775,0.113332,3.53266,-0.228947,3.82775,0.0978896,All
5.67252,0.0138286,5.67252,-0.0822166,5.67252,0.00602631,3.88457,0.111189,3.54774,-0.229839,3.88457,0.096285,All
6.106,0.0205006,6.106,-0.0672613,6.106,0.0152283,4.02711,0.106591,3.71846,-0.237605,4.02711,0.0932024,All
6.21804,0.0222252,6.21804,-0.0633956,6.21804,0.0176068,4.08844,0.104968,3.73707,-0.238009,4.08844,0.0922959,All
6.594,0.028012,6.594,-0.0504248,6.594,0.0255877,4.22647,0.102555,3.90425,-0.238939,4.22647,0.0916706,All
6.81603,0.0314294,6.81603,-0.0427647,6.81603,0.030301,4.30301,0.101749,3.93651,-0.238182,4.30301,0.0919275,All
7.082,0.0359639,7.082,-0.0321532,7.082,0.0367564,4.42584,0.10061,4.09005,-0.225796,4.42584,0.0925194,All
7.47152,0.0434238,7.47152,-0.0141343,7.47152,0.0475226,4.52884,0.0994711,4.14658,-0.219918,4.52884,0.0928198,All
7.57,0.0452898,7.57,-0.00965704,7.57,0.0501945,4.6252,0.0984058,4.27585,-0.2026,4.6252,0.0931007,All
8.058,0.0545364,8.058,0.0125288,8.058,0.0634345,4.76653,0.0951916,4.36787,-0.183665,4.76653,0.0916766,All
8.19005,0.0570385,8.19005,0.0185321,8.19005,0.0670171,4.82456,0.0925591,4.46164,-0.161085,4.82456,0.089626,All
8.546,0.063783,8.546,0.0347147,8.546,0.0766746,5.01669,0.083124,4.60097,-0.123866,5.01669,0.0820331,All
8.97768,0.0713579,8.97768,0.0522049,8.97768,0.0871084,5.02392,0.0826262,4.64744,-0.110888,5.02392,0.0815878,All
9.034,0.0722082,9.034,0.0540009,9.034,0.0881795,5.22328,0.0640137,4.83324,-0.0595088,5.22328,0.0638414,All
9.522,0.0771166,9.522,0.0644917,9.522,0.0936424,5.27998,0.0570879,4.84651,-0.0560673,5.27998,0.056958,All
9.84105,0.0776534,9.84105,0.0672279,9.84105,0.0935565,5.42265,0.0376431,5.01904,-0.0143937,5.42265,0.0372625,All
10.01,0.0779376,10.01,0.0686768,10.01,0.093511,5.55709,0.0187392,5.10515,0.00178592,5.55709,0.0179489,All
10.498,0.0787586,10.498,0.0728618,10.498,0.0933797,5.62201,0.00971909,5.20483,0.016504,5.62201,0.00863186,All
10.7875,0.0792456,10.7875,0.0753442,10.7875,0.0933018,5.82137,-0.0122199,5.37759,0.0311264,5.82137,-0.0142687,All
10.986,0.0795796,10.986,0.0770469,10.986,0.0932484,5.84874,-0.0147428,5.39063,0.0318617,5.84874,-0.016919,All
11.474,0.0804006,11.474,0.081232,11.474,0.093117,6.02073,-0.0277452,5.57643,0.0357665,6.02073,-0.0306401,All
11.8249,0.0775375,11.8249,0.0825127,11.8249,0.0895691,6.15569,-0.0294087,5.66457,0.035116,6.15569,-0.0325952,All
11.962,0.0756624,11.962,0.0826348,11.962,0.0874263,6.22009,-0.0281528,5.76222,0.0335768,6.22009,-0.0313997,All
12.45,0.0714926,12.45,0.0859583,12.45,0.0846261,6.41945,-0.0170611,5.94802,0.0310252,6.41945,-0.0201421,All
12.938,0.0699762,12.938,0.0909493,12.938,0.085692,6.47876,-0.0136566,5.96687,0.0308829,6.47876,-0.016683,All
12.9621,0.0699014,12.9621,0.0911954,12.9621,0.0857445,6.61882,-0.00503268,6.13382,0.0335354,6.61882,-0.00788109,All
13.426,0.0684598,13.426,0.0959404,13.426,0.0867578,6.81818,0.00801078,6.2853,0.0423851,6.81818,0.00566443,All
13.914,0.0669434,13.914,0.100931,13.914,0.0878236,6.81878,0.00804468,6.31961,0.044829,6.81878,0.00569996,All
14.2086,0.0660279,14.2086,0.103945,14.2086,0.088467,7.01754,0.0123021,6.50541,0.0616238,7.01754,0.0104748,All
14.402,0.0654269,14.402,0.105922,14.402,0.0888894,7.17665,0.0129598,6.62073,0.0729065,7.17665,0.0115305,All
14.89,0.0639105,14.89,0.110913,14.89,0.0899552,7.2169,0.0101202,6.69121,0.0793244,7.2169,0.00875921,All
15.378,0.0623941,15.378,0.115905,15.378,0.091021,7.41626,-0.00877173,6.877,0.0939717,7.41626,-0.00986212,All
15.575,0.0617818,15.575,0.11792,15.575,0.0914514,7.5533,-0.0323542,6.97405,0.0986225,7.5533,-0.033429,All
15.866,0.0608777,15.866,0.120896,15.866,0.0920868,7.61563,-0.0439698,7.0628,0.101142,7.61563,-0.0450553,All
16.354,0.0593612,16.354,0.125887,16.354,0.0931527,7.81499,-0.0858939,7.2486,0.101833,7.81499,-0.0871942,All
16.842,0.0578448,16.842,0.130878,16.842,0.0942185,7.94972,-0.1142,7.34623,0.101371,7.94972,-0.115709,All
17.0729,0.0571274,17.0729,0.133239,17.0729,0.0947227,8.01435,-0.126743,7.4344,0.100379,8.01435,-0.128385,All
17.33,0.0563284,17.33,0.135869,17.33,0.0952843,8.21371,-0.15823,7.62019,0.0989782,8.21371,-0.16035,All
17.818,0.054812,17.818,0.14086,17.818,0.0963501,8.36694,-0.173784,7.73827,0.101283,8.36694,-0.176336,All
18.306,0.0532955,18.306,0.145851,18.306,0.0974159,8.41307,-0.177126,7.80599,0.102604,8.41307,-0.179818,All
18.7148,0.0520253,18.7148,0.150031,18.7148,0.0983087,8.61243,-0.185198,7.99179,0.109883,8.61243,-0.188559,All
18.794,0.0517791,18.794,0.150842,18.794,0.0984817,8.80606,-0.185887,8.15123,0.125168,8.80606,-0.189984,All
19.282,0.0502627,19.282,0.155833,19.282,0.0995475,8.8118,-0.185776,8.17758,0.128521,8.8118,-0.189896,All
19.77,0.0487463,19.77,0.160824,19.77,0.100613,9.01116,-0.181695,8.36338,0.157439,9.01116,-0.186651,All
20.258,0.0472298,20.258,0.165815,20.258,0.101679,9.21052,-0.174412,8.54918,0.191296,9.21052,-0.180313,All
20.5145,0.0464326,20.5145,0.168439,20.5145,0.102239,9.26822,-0.17219,8.58624,0.198063,9.26822,-0.178376,All
20.746,0.0457134,20.746,0.170806,20.746,0.102745,9.40988,-0.167488,8.73497,0.224836,9.40988,-0.17442,All
21.234,0.044197,21.234,0.175797,21.234,0.103811,9.60924,-0.162799,8.92077,0.251082,9.60924,-0.170841,All
21.722,0.0426805,21.722,0.180788,21.722,0.104877,9.75465,-0.161891,9.04445,0.263989,9.75465,-0.170794,All
22.21,0.0411641,22.21,0.185779,22.21,0.105942,9.8086,-0.162823,9.10657,0.267993,9.8086,-0.172062,All
22.4874,0.0403021,22.4874,0.188616,22.4874,0.106548,10.008,-0.170878,9.29236,0.262897,10.008,-0.181409,All
22.698,0.0396477,22.698,0.19077,22.698,0.107008,10.2073,-0.195764,9.47816,0.243416,10.2073,-0.207709,All
23.186,0.0381313,23.186,0.195761,23.186,0.108074,10.2666,-0.20897,9.52712,0.224489,10.2666,-0.221372,All
23.674,0.0366148,23.674,0.200752,23.674,0.10914,10.4067,-0.240187,9.66396,0.158866,10.4067,-0.253669,All
24.162,0.0924914,24.162,0.204122,24.162,0.162527,10.6061,-0.284611,9.84975,0.0697606,10.6061,-0.299628,All
24.65,0.16072,24.65,0.206768,24.65,0.226864,10.8054,-0.329035,10.0356,-0.0193444,10.8054,-0.345587,All
