standEta_ka_abscissa,standEta_ka_cdf,standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-0.609611,0.308333,-0.493197,0.308333,-0.292755,0.308333,All
-0.557042,0.316667,-0.440801,0.316667,-0.286623,0.316667,All
-0.550809,0.325,-0.401588,0.325,-0.282127,0.325,All
-0.510182,0.333333,-0.396722,0.333333,-0.234912,0.333333,All
-0.484799,0.341667,-0.37386,0.341667,-0.215197,0.341667,All
-0.475055,0.35,-0.356573,0.35,-0.205217,0.35,All
-0.451971,0.358333,-0.337521,0.358333,-0.19726,0.358333,All
-0.443821,0.366667,-0.310496,0.366667,-0.140779,0.366667,All
-0.414295,0.375,-0.306035,0.375,-0.129931,0.375,All
-0.390152,0.383333,-0.202366,0.383333,-0.108131,0.383333,All
-0.36016,0.391667,-0.164968,0.391667,-0.0871199,0.391667,All
-0.323074,0.4,-0.15922,0.4,-0.0815401,0.4,All
-0.288953,0.408333,-0.147483,0.408333,-0.0732249,0.408333,All
-0.256991,0.416667,-0.144575,0.416667,-0.0657169,0.416667,All
-0.236179,0.425,-0.144091,0.425,-0.0195263,0.425,All
-0.22999,0.433333,-0.131314,0.433333,0.0343156,0.433333,All
-0.208397,0.441667,-0.114721,0.441667,0.0486251,0.441667,All
-0.204741,0.45,-0.109554,0.45,0.0525296,0.45,All
-0.191154,0.458333,-0.0915381,0.458333,0.0585769,0.458333,All
-0.174342,0.466667,-0.0600728,0.466667,0.0632187,0.466667,All
-0.164955,0.475,-0.00652964,0.475,0.0786246,0.475,All
-0.124434,0.483333,-0.00180825,0.483333,0.0845304,0.483333,All
-0.0974582,0.491667,0.00248374,0.491667,0.104751,0.491667,All
-0.0573202,0.5,0.0131883,0.5,0.112774,0.5,All
-0.0462086,0.508333,0.0251069,0.508333,0.15773,0.508333,All
-0.04398,0.516667,0.0267757,0.516667,0.169422,0.516667,All
-0.0374538,0.525,0.05911,0.525,0.181779,0.525,All
-0.0358607,0.533333,0.112085,0.533333,0.187641,0.533333,All
-0.0145469,0.541667,0.131925,0.541667,0.192739,0.541667,All
0.0314139,0.55,0.190553,0.55,0.203681,0.55,All
0.0343934,0.558333,0.209353,0.558333,0.208809,0.558333,All
0.038912,0.566667,0.252505,0.566667,0.216962,0.566667,All
0.0413489,0.575,0.308563,0.575,0.234704,0.575,All
0.0822462,0.583333,0.31303,0.583333,0.243155,0.583333,All
0.0911052,0.591667,0.348361,0.591667,0.245597,0.591667,All
0.100961,0.6,0.386757,0.6,0.246797,0.6,All
0.103245,0.608333,0.408985,0.608333,0.263853,0.608333,All
0.127882,0.616667,0.410756,0.616667,0.277227,0.616667,All
0.174459,0.625,0.464421,0.625,0.289008,0.625,All
0.216759,0.633333,0.466299,0.633333,0.305342,0.633333,All
0.235146,0.641667,0.494689,0.641667,0.310598,0.641667,All
0.245382,0.65,0.515078,0.65,0.342153,0.65,All
0.248582,0.658333,0.516979,0.658333,0.342588,0.658333,All
0.257555,0.666667,0.519342,0.666667,0.346305,0.666667,All
0.271363,0.675,0.598663,0.675,0.392904,0.675,All
0.348869,0.683333,0.666839,0.683333,0.397045,0.683333,All
0.366173,0.691667,0.673046,0.691667,0.400336,0.691667,All
0.369757,0.7,0.678218,0.7,0.416987,0.7,All
0.379151,0.708333,0.684557,0.708333,0.431518,0.708333,All
0.403538,0.716667,0.710522,0.716667,0.439798,0.716667,All
0.406429,0.725,0.725709,0.725,0.464083,0.725,All
0.406789,0.733333,0.775371,0.733333,0.470828,0.733333,All
0.40958,0.741667,0.779886,0.741667,0.48456,0.741667,All
0.458387,0.75,0.785044,0.75,0.497391,0.75,All
0.468931,0.758333,0.790275,0.758333,0.527478,0.758333,All
0.51917,0.766667,0.807768,0.766667,0.565996,0.766667,All
0.553719,0.775,0.809142,0.775,0.591317,0.775,All
0.60473,0.783333,0.815593,0.783333,0.600983,0.783333,All
0.731673,0.791667,0.828217,0.791667,0.642918,0.791667,All
0.750163,0.8,0.857278,0.8,0.693792,0.8,All
0.768836,0.808333,0.875076,0.808333,0.74148,0.808333,All
0.771689,0.816667,1.0182,0.816667,0.757495,0.816667,All
0.848,0.825,1.05613,0.825,0.821289,0.825,All
0.850078,0.833333,1.07138,0.833333,0.839854,0.833333,All
0.887261,0.841667,1.11248,0.841667,0.85994,0.841667,All
0.970366,0.85,1.11498,0.85,0.883156,0.85,All
1.04944,0.858333,1.12965,0.858333,0.885273,0.858333,All
1.04994,0.866667,1.14166,0.866667,0.888652,0.866667,All
1.0511,0.875,1.14261,0.875,0.898118,0.875,All
1.06698,0.883333,1.15208,0.883333,0.951782,0.883333,All
1.32358,0.891667,1.19718,0.891667,0.966673,0.891667,All
1.35035,0.9,1.19882,0.9,1.01055,0.9,All
1.38268,0.908333,1.23888,0.908333,1.0469,0.908333,All
1.66298,0.916667,1.27545,0.916667,1.07035,0.916667,All
1.78725,0.925,1.30107,0.925,1.0932,0.925,All
1.85237,0.933333,1.41367,0.933333,1.11808,0.933333,All
1.8888,0.941667,1.45263,0.941667,1.26683,0.941667,All
1.9178,0.95,1.46006,0.95,1.42986,0.95,All
2.00223,0.958333,1.52159,0.958333,1.44244,0.958333,All
2.13989,0.966667,1.59317,0.966667,1.50084,0.966667,All
2.20285,0.975,1.59483,0.975,1.54067,0.975,All
2.21531,0.983333,1.66203,0.983333,1.60357,0.983333,All
2.46099,0.991667,1.66784,0.991667,1.84657,0.991667,All
2.60369,1,1.74628,1,2.146,1,All
4,1,4,1,4,1,All
