ka_abscissa,ka_pdf,ka_cdf,V_abscissa,V_pdf,V_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,split
3.3941,0.086821,0.881945,0.476835,6.20413,0.64148,0.0497171,21.7423,0.784563,All
3.47983,0.0809773,0.889135,0.483775,5.82845,0.683262,0.0506956,20.0946,0.805027,All
3.56556,0.0755545,0.895842,0.490715,5.4106,0.722282,0.051674,18.5062,0.823907,All
3.65129,0.0705215,0.902101,0.497655,4.96573,0.7583,0.0526525,16.9871,0.841266,All
3.73703,0.0658495,0.907944,0.504595,4.50791,0.791178,0.053631,15.5446,0.857175,All
3.82276,0.0615115,0.913401,0.511535,4.04973,0.82087,0.0546095,14.1833,0.871712,All
3.90849,0.0574826,0.9185,0.518476,3.60183,0.847413,0.055588,12.9061,0.884959,All
3.99423,0.0537398,0.923266,0.525416,3.17286,0.870908,0.0565665,11.7141,0.896997,All
4.07996,0.0502617,0.927722,0.532356,2.76936,0.891512,0.0575449,10.6067,0.90791,All
4.16569,0.0470285,0.931891,0.539296,2.39593,0.909418,0.0585234,9.5826,0.917781,All
4.25142,0.0440219,0.935792,0.546236,2.05539,0.924844,0.0595019,8.63917,0.92669,All
4.33716,0.041225,0.939445,0.553176,1.74897,0.938026,0.0604804,7.77327,0.934713,All
4.42289,0.0386223,0.942867,0.560116,1.47668,0.9492,0.0614589,6.98123,0.941926,All
4.50862,0.0361993,0.946073,0.567056,1.23749,0.958599,0.0624374,6.25902,0.948398,All
4.59435,0.0339427,0.949078,0.573996,1.02961,0.966449,0.0634158,5.60238,0.954196,All
4.68009,0.0318403,0.951897,0.580937,0.850762,0.972958,0.0643943,5.00697,0.959381,All
4.76582,0.0298807,0.954542,0.587877,0.698334,0.978319,0.0653728,4.46842,0.964013,All
4.85155,0.0280535,0.957024,0.594817,0.569576,0.982705,0.0663513,3.98243,0.968143,All
4.93729,0.0263491,0.959356,0.601757,0.461721,0.986273,0.0673298,3.54483,0.971822,All
5.02302,0.0247584,0.961546,0.608697,0.372094,0.989156,0.0683082,3.15157,0.975095,All
5.10875,0.0232734,0.963604,0.615637,0.298172,0.991474,0.0692867,2.79884,0.978003,All
5.19448,0.0218865,0.965539,0.622577,0.237639,0.993326,0.0702652,2.483,0.980584,All
5.28022,0.0205905,0.967359,0.629517,0.188406,0.994798,0.0712437,2.20066,0.982873,All
5.36595,0.0193791,0.969072,0.636458,0.148623,0.995963,0.0722222,1.94865,0.9849,All
5.45168,0.0182462,0.970684,0.643398,0.116674,0.996879,0.0732007,1.72402,0.986695,All
5.53741,0.0171863,0.972203,0.650338,0.0911672,0.997597,0.0741791,1.52407,0.988282,All
5.62315,0.0161943,0.973633,0.657278,0.0709176,0.998157,0.0751576,1.34631,0.989685,All
5.70888,0.0152655,0.974981,0.664218,0.0549282,0.998591,0.0761361,1.18846,0.990924,All
5.79461,0.0143955,0.976252,0.671158,0.0423674,0.998927,0.0771146,1.04843,0.992017,All
5.88034,0.0135802,0.977451,0.678098,0.0325486,0.999186,0.0780931,0.924345,0.99298,All
5.96608,0.0128159,0.978582,0.685038,0.0249092,0.999384,0.0790716,0.814486,0.99383,All
6.05181,0.0120991,0.97965,0.691978,0.0189922,0.999536,0.08005,0.71731,0.994579,All
6.13754,0.0114266,0.980658,0.698919,0.0144292,0.999651,0.0810285,0.631422,0.995238,All
6.22328,0.0107954,0.98161,0.705859,0.0109249,0.999738,0.082007,0.555569,0.995817,All
6.30901,0.0102027,0.98251,0.712799,0.00824428,0.999804,0.0829855,0.488625,0.996328,All
6.39474,0.00964598,0.983361,0.719739,0.0062016,0.999854,0.083964,0.429584,0.996776,All
6.48047,0.00912283,0.984165,0.726679,0.00465074,0.999892,0.0849425,0.377544,0.997171,All
6.56621,0.00863105,0.984926,0.733619,0.0034774,0.99992,0.0859209,0.331701,0.997517,All
6.65194,0.00816858,0.985646,0.740559,0.0025927,0.999941,0.0868994,0.291339,0.997822,All
6.73767,0.0077335,0.986327,0.747499,0.00192778,0.999956,0.0878779,0.255819,0.998089,All
6.8234,0.00732406,0.986973,0.754439,0.0014296,0.999968,0.0888564,0.224575,0.998324,All
6.90914,0.00693858,0.987584,0.76138,0.00105747,0.999976,0.0898349,0.197103,0.99853,All
6.99487,0.00657554,0.988163,0.76832,0.000780289,0.999983,0.0908133,0.172958,0.99871,All
7.0806,0.00623351,0.988712,0.77526,0.000574406,0.999987,0.0917918,0.151744,0.998869,All
7.16634,0.00591116,0.989233,0.7822,0.000421886,0.999991,0.0927703,0.133111,0.999008,All
7.25207,0.00560725,0.989726,0.78914,0.000309186,0.999993,0.0937488,0.11675,0.99913,All
7.3378,0.00532062,0.990194,0.79608,0.000226116,0.999995,0.0947273,0.102388,0.999237,All
7.42353,0.0050502,0.990639,0.80302,0.000165029,0.999996,0.0957058,0.0897841,0.999331,All
7.50927,0.00479498,0.991061,0.80996,0.00012021,0.999997,0.0966842,0.0787248,0.999413,All
7.595,0.00455403,0.991461,0.816901,8.73983e-05,0.999998,0.0976627,0.0690231,0.999486,All
7.68073,0.00432647,0.991842,0.823841,6.34279e-05,0.999999,0.0986412,0.0605138,0.999549,All
7.76646,0.0041115,0.992204,0.830781,4.59516e-05,0.999999,0.0996197,0.0530515,0.999604,All
7.8522,0.00390834,0.992547,0.837721,3.32348e-05,0.999999,0.100598,0.0465082,0.999653,All
7.93793,0.00371628,0.992874,0.844661,2.39986e-05,0.999999,0.101577,0.0407716,0.999696,All
8.02366,0.00353467,0.993185,0.851601,1.73023e-05,1,0.102555,0.0357426,0.999733,All
8.1094,0.00336287,0.99348,0.858541,1.24558e-05,1,0.103534,0.0313343,0.999766,All
8.19513,0.00320031,0.993762,0.865481,8.95405e-06,1,0.104512,0.0274703,0.999795,All
8.28086,0.00304644,0.994029,0.872421,6.42787e-06,1,0.105491,0.0240837,0.99982,All
8.36659,0.00290075,0.994284,0.879362,4.60827e-06,1,0.106469,0.0211156,0.999842,All
8.45233,0.00276277,0.994527,0.886302,3.29956e-06,1,0.107448,0.0185142,0.999861,All
8.53806,0.00263205,0.994758,0.893242,2.35962e-06,1,0.108426,0.0162344,0.999878,All
8.62379,0.00250818,0.994979,0.900182,1.68545e-06,1,0.109405,0.0142364,0.999893,All
8.70952,0.00239074,0.995189,0.907122,1.20255e-06,1,0.110383,0.0124853,0.999906,All
8.79526,0.00227939,0.995389,0.914062,8.5707e-07,1,0.111361,0.0109506,0.999918,All
